用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
俏丽蛙本蛙,男,街猫这种b东西就纯纯是针对逆天mxz群体而出现的畸形产物，这机器只会收钱出粮而不管猫的卫生和绝育，大流浪猫生小流浪猫，小流浪猫长大了还会生流浪猫，也就是说这东西并对减少流浪猫群体没有任何作用反而会使流浪猫泛滥，说到底也只能满足那些没有责任心还自诩善良爱小动物的人,神-无敌之道,2级评论,6,64,2024-04-01 15:36:50
俏丽蛙本蛙,男,回复 @俏丽蛙本蛙 :再说流浪猫本身就有可能携带病菌，这下流浪猫成群到刷怪笼去身上病菌都共享了，这不是加速他们死亡吗,神-无敌之道,2级评论,6,17,2024-04-01 15:37:57
君颜别一,保密,致敬传奇复合弓手,,1级评论,5,1923,2024-02-03 19:27:40
夜班篝,保密,就把他的弓叫太史弓吧,君颜别一,2级评论,5,14,2024-03-21 23:16:16
北方要塞,保密,致敬澳洲传奇猎手巴里·格林,君颜别一,2级评论,6,3,2024-03-24 14:53:42
芦象升,男,杀猫射猫没有任何问题，唯一有问题的是在小区使用复合弓会有些危险，不建议，最好还是下毒，并且人别走太远，防止其他人误食，猫的反应速度是毒药的七倍，感觉到不舒服自己会吐出来。,,1级评论,6,1207,2024-03-16 10:38:43
三色大裤衩,保密,太被动了换弹弓吧，安全快捷,芦象升,2级评论,5,29,2024-03-26 05:41:37
赫尔漫迈耶,男,不太好，万一毒了其他动物呢，比如鸟，刺猬，暴露的尸体谁处理呢，会不会滋生病菌传播？射杀也是一个道理，就算狩猎的人主动处理尸体其实影响传出去也不好，最好还是坚持不投喂，鼓励领养，呼吁政府集体扑杀，当然我也没资格教别人做事，做了总比不做好吧,芦象升,2级评论,6,52,2024-03-29 20:29:01
達民,男,应该用近战，万一伤到人就不好了,,1级评论,6,1544,2024-01-28 09:38:53
崔氏猛虎,男,猫的速度快，不搞远程打不了,達民,2级评论,5,79,2024-02-19 17:44:16
熊先森___,男,"回复 @崔氏猛虎 :对乙酰氨基酚磨碎，一只野猫摄入50mg就可以致死，以泰诺为例，一片650mg可以消灭13只野猫。
乙二醇（分析级）伴妙鲜包（猫零食）。分析级乙二醇是一般商品，无色无味，对野猫威力巨大，好像致死量是1.6ml/kg",達民,2级评论,6,153,2024-02-26 16:05:28
腔肠科给我寇算港脚吗,保密,"哈吉米被射杀好笑程度:100%
作者是合肥射箭精英邀请赛好笑程度10000%",,1级评论,5,1179,2024-07-01 16:13:09
青天牢大爷,保密,这回笑对了😀,腔肠科给我寇算港脚吗,2级评论,4,29,2024-07-14 05:34:03
好孩子阿咖喱,保密,我是来合肥旅游的[大哭],腔肠科给我寇算港脚吗,2级评论,5,15,2025-03-04 18:26:46
甜筒AL_1S,男,致敬传奇ad韦鲁斯,,1级评论,6,894,2024-02-07 06:01:03
无敌快乐水大王,保密,不是uzi？,甜筒AL_1S,2级评论,2,6,2024-02-19 11:37:16
黑会做梦,男,罪恶（流浪猫和无脑的猫孝子）将知道，什么是痛苦！,甜筒AL_1S,2级评论,6,19,2024-03-10 08:40:20
最強伝説黒沢,保密,英雄，为那些小鸟报仇了[点赞],,1级评论,5,1075,2024-01-27 20:03:38
聚醚嵌段聚酰胺,保密,支持传奇神射手！,最強伝説黒沢,2级评论,5,13,2024-10-01 14:20:07
坐在避雷针上的男孩,男,还有蛇类，蜥蜴类,最強伝説黒沢,2级评论,6,15,2024-12-18 16:08:25
ziwenyu,保密,他的装备太落后了,,1级评论,2,131,2025-02-14 15:20:34
芝士味红chara,保密,你这水弹打哈基米身上连包都不起,ziwenyu,2级评论,5,52,2025-02-18 20:04:17
虎E重型坦克,保密,你敢用真铁在国内开一枪试试咯,ziwenyu,2级评论,6,6,2025-02-27 12:32:07
長弓流矢,保密,"扑杀流浪猫这一行为有法律相应条例，尚在理论之间[口罩]
但是作为弓箭爱好者，对这种在 有一般人员活动场所 使用 弓箭（客观存在致命性、威胁性物品）的行为，表示极为不齿[生气]
另外
对于造成危害的流浪动物有更加合理安全的处置方法，
但是视频里的主角在不使用合理处置方法之外对射杀动物表现出兴奋及娱乐的状态。
就已经超过了合理处置的范围了
最后 
官方处理内容是该未成年人的监护人出来对其行为进行解释及道歉，该未成年人将复合弓上缴至派出所，UP是从提倡合法行为的弓箭爱好者视角进行的批评，没有什么问题",,1级评论,6,508,2023-08-08 10:19:14
带带亞力克塞,男,换句话说，他只要在确保周围没有其他人的时候进行射击，那毫无问题。,長弓流矢,2级评论,6,63,2024-01-21 18:45:41
長弓流矢,保密,回复 @带带亞力克塞 :可以这么理解[OK],長弓流矢,2级评论,6,8,2024-01-21 19:55:59
若松雀,男,你阻止他的理由是不要拿複合弓在路上張揚，而不是獵殺流浪貓這種善舉[笑哭],,1级评论,6,105,2024-01-23 20:09:36
奇懿君,保密,钓到鱼了。,,1级评论,6,38,2024-04-30 21:34:43
霜雪寒花,保密,坏了，居然真有消愁mxz,奇懿君,2级评论,6,11,2024-05-28 01:10:01
雷龙黑三玩家,保密,这种二级的是数字生命,奇懿君,2级评论,5,9,2024-06-19 00:58:48
纱世lee,男,弓箭手准备放箭；全都去spa,,1级评论,5,37,2025-02-05 01:47:18
拿丈八的立牧,男,九州硝焰起，烽火灼铁衣,纱世lee,2级评论,5,1,2025-02-07 20:09:53
哇累哇尤尼控哒,男,原来射杀的是流浪猫啊，不知道的以为射鲨的是腻跌捏,,1级评论,6,558,2024-04-12 18:52:15
想带妳去吹吹風,男,攻击性还有待提高,哇累哇尤尼控哒,2级评论,6,24,2024-05-11 11:30:02
Ssssrx-,男,攻击性还有待提高,哇累哇尤尼控哒,2级评论,6,16,2024-05-18 23:57:32
龙不相书屋,男,以UP怼脸拍摄人的这个行为，足可以看出来，UP是一个自我主观能力极强的人，性格上会有偏激的方面，待人处事会有锋芒，容易误伤身边人，若是生活中遇到类似的人，还是远离比较好，因为他会为了自己的观点，强行说服别人，一旦有人当面反驳，肢体冲突都可能,,1级评论,6,735,2024-06-05 17:09:29
bili-345678,男,哈基人爱一顿就好了😋,龙不相书屋,2级评论,6,53,2024-10-20 00:26:23
氰化物cry,保密,转发的。,龙不相书屋,2级评论,6,4,2024-10-24 07:30:09
荼粽,保密,真有钱，碳箭折一根我都心疼[笑哭],,1级评论,6,417,2025-02-05 13:59:29
逢关千里雪,男,是啊，拔出来就不心疼了，但是打死猫还真便宜它了,荼粽,2级评论,5,29,2025-02-11 15:04:51
一生红魔曼彻斯特联,保密,用玻纤呗,荼粽,2级评论,4,8,2025-02-17 13:31:04
猫猫和鸭脖,保密,除了用弓箭有可能射到人之外，别人有哪点做错了？,,1级评论,4,85,2024-03-08 23:49:41
第一琴女の林小旻,男,你看看治安管理处罚法,猫猫和鸭脖,2级评论,6,0,2025-04-08 16:02:24
猫猫和鸭脖,保密,回复 @第一琴女の林小旻 :我不玩弓，但有一些弓并不能算持械。,猫猫和鸭脖,2级评论,4,1,2025-04-08 18:15:53
逆呃李子木,男,笑点解析：up主名字叫“合肥射箭精英邀请赛”,,1级评论,6,568,2024-04-01 14:58:42
SlimeRain,保密,笑点解析:合肥射箭精英邀请赛,,1级评论,6,81,2024-03-21 16:32:39
东巴黎official,保密,有一说一爱猫归爱猫，别拿复合弓爱，要有个人在自家楼下拿着个复合弓到处转悠大部分人心里的犯嘀咕,,1级评论,6,485,2024-03-13 14:37:29
快乐的胖虎灬,保密,还得是传说武器木棍，但是命中低，只能用弓箭99%命中率,东巴黎official,2级评论,5,50,2024-04-10 08:24:56
秦安端巫糕手,保密,复合弓好像是没有管制的，不过确实有点危险，建议是拿弹弓，现在的弹弓已经够爱猫了,东巴黎official,2级评论,4,41,2024-05-03 21:54:27
西瓜的复仇,保密,杀流浪猫并没有错，但方法错了，在小区里弓箭太容易误伤，严重危胁到别人的生命安全了，这种行为必须制止，流浪猫再怎么猛也不会直接危胁到人的生命安全，而弓箭随便一箭都能要人半条命了，磅数大点的弓甚至能达到穿胸而过的地步，这人在小区耍弓箭就应报警，他的行为已经危害公共安全了。,,1级评论,5,118,2024-03-23 13:22:54
----331146,保密,对，弓容易伤人，最好用药,西瓜的复仇,2级评论,5,9,2024-03-23 14:43:20
ダ酱SSR,男,回复 @----331146 :用药也会被说成投毒，危害公共安全的[笑哭],西瓜的复仇,2级评论,6,4,2024-03-24 13:40:10
蓝风STORMBLUE,男,无公害化处理好，但是就怕误伤到人，毕竟不可能百分百命中。,,1级评论,6,509,2024-01-27 13:33:23
陈圆外,保密,很难不中…复合弓是弓箭里的重型武器…弓手玩的就是耐心,蓝风STORMBLUE,2级评论,5,32,2024-02-19 10:04:03
樱花的味道我知道,保密,回复 @陈圆外 : 大多数人不经过专业训练，十米靶都不一定打得中靶,蓝风STORMBLUE,2级评论,6,9,2024-02-19 19:27:04
杂鱼之力无所不能,男,笑点解析：合肥射箭精英邀请赛,,1级评论,5,67,2025-01-04 20:05:30
账号已注销,保密,哈哈哈哈，射箭宣传视频，射箭精英最多的一年[笑哭],杂鱼之力无所不能,2级评论,0,0,2025-01-08 04:06:51
账号已注销,保密,看来不得不参加了,杂鱼之力无所不能,2级评论,0,1,2025-03-24 16:54:47
李梅孜然烧烤,男,冷知识，哈吉米的速度是箭的7倍,,1级评论,6,505,2024-02-05 08:56:47
可可托海的养鸡人,保密,精英邀请赛是吧,李梅孜然烧烤,2级评论,6,21,2024-02-05 19:17:50
MoonRiverxx,保密,我记得哈基米的反应速度是七倍的光速啊，你记错了吧[笑哭]不过我感觉这一些哈基米纯粹是自己想似了才不躲避的,李梅孜然烧烤,2级评论,5,46,2024-03-26 03:13:36
漆黑之觋Cain,男,流浪猫是该清理，但这种方式危害公共安全了,,1级评论,6,130,2023-08-04 09:59:14
-米饭是菜-,男,全网呼叫洛圣都改猫王,,1级评论,6,295,2024-01-31 12:44:32
Rrisl,男,你是群友不，哪都能看见你,-米饭是菜-,2级评论,6,0,2024-01-31 13:53:04
江午火,保密,怼人脸拍视频，不就是想发到网上，让大家网暴视频里的年轻人吗？这个年轻人心态好，不生气。是个好样的[支持],,1级评论,6,59,2025-02-13 08:17:06
-風の夏-,女,支持，但别误伤到人,,1级评论,6,268,2024-01-23 16:02:43
高桥梨槿,男,真正的环保主义者,,1级评论,5,61,2024-02-15 12:44:39
秋山nnn,保密,我不认为杀流浪猫或是野猫是一件邪恶的行为，那些个称今日敢杀猫，明日敢杀人的人，我对他们的言行表示鄙视。,,1级评论,6,275,2024-09-23 11:38:01
坐在避雷针上的男孩,男,纠正一下，猫就是猫，外面没人养的猫叫流浪猫，不能叫野猫，因为野猫是斑猫或豹猫，这些是完完全全的野生保护动物，流浪猫就是我们人类遗弃的家猫。,秋山nnn,2级评论,6,44,2024-12-18 16:11:16
星际第一机甲大师,男,今天敢从猫手里救下鸟，明天就敢救人,秋山nnn,2级评论,5,87,2025-01-06 17:33:32
账号已注销,保密,猫咪不舒服自己会复活的[呲牙],,1级评论,0,48,2024-05-25 22:55:19
可爱俏皮的小魔Bangarang,保密,破案，米猫一体,,1级评论,6,32,2024-03-21 18:01:34
梅花衍_offical,保密,迪奥娜启动,可爱俏皮的小魔Bangarang,2级评论,6,2,2024-03-21 20:41:06
传奇冷门信仰弓苟玩家,保密,破案,可爱俏皮的小魔Bangarang,2级评论,4,4,2024-03-21 23:23:45
啊吖吖唵,保密,别人坦荡承认，而你却敢怒不敢言，只敢在网络上侮辱他人，那么你又是什么东西呢？,,1级评论,5,46,2024-06-26 11:17:47
肯绰埃弗斯,男,是超级无敌勇敢的猫肖籽啊啊啊啊啊啊[大笑],啊吖吖唵,2级评论,6,5,2024-06-28 14:41:46
顶针BRYANT,男,戳啦，🐱小子手上没有武器不敢乱动,啊吖吖唵,2级评论,5,1,2024-10-29 07:47:46
Noob2004,男,今天敢射流浪猫，明天就敢射犯罪分子,,1级评论,6,209,2024-04-06 02:00:55
索塞罗-朱加什维利,保密,后天就敢射国贼了！,Noob2004,2级评论,6,63,2024-04-07 10:00:27
秋霄先生,保密,回复 @索塞罗-朱加什维利 : 那完蛋了铁定要被抓进去了,Noob2004,2级评论,6,7,2024-04-08 15:05:58
易逝蘩花,男,我只有一句话，广义上来说，除了人类以外的没有被收养动物不都是在流浪吗，为啥就猫狗会让人同情呢？,,1级评论,5,57,2024-02-23 21:35:17
赤败空,男,因为家猫是人为培育的，正常状态就不该出现在野外。,易逝蘩花,2级评论,6,22,2024-02-23 23:18:05
゚゙゚゙火青芝麻糊,保密,请分清野猫和流浪猫、野生动物和流浪动物的区别，你这就是诡辩,易逝蘩花,2级评论,6,7,2024-02-25 10:42:46
_douze_,男,穿杨射柳，百发百中,,1级评论,5,165,2024-02-10 02:35:49
EREN-the標,保密,中！,_douze_,2级评论,6,2,2024-02-17 00:02:46
拿丈八的立牧,男,流不尽的英雄血，斩不尽的逆贼头,_douze_,2级评论,5,2,2025-02-07 20:15:05
妄动吾名,男,敢作敢当，这个拍摄者为什么不敢露脸,,1级评论,5,45,2023-11-19 12:45:30
守护Ta的光玉,保密,拍人脸发到网上经过人同意了吗,,1级评论,6,141,2025-01-23 12:42:58
小弟不吃南瓜,保密,这一看就是急了,守护Ta的光玉,2级评论,3,13,2025-02-18 00:33:04
小弟不吃南瓜,保密,我说的是拍视频的，没说你,守护Ta的光玉,2级评论,3,15,2025-02-18 00:33:20
邦邦为,保密,致敬传奇英雄韦鲁斯,,1级评论,6,51,2024-02-09 22:44:11
圆头耄耋大鱿鱼,女,冷知识，牢大的反应是人的七倍，觉得不舒服了牢大会跑,,1级评论,6,220,2024-01-31 23:02:56
尤利Yuri,保密,今天敢为了家人杀流浪猫，明天就敢为了国家上战场杀敌,,1级评论,6,41,2024-12-22 02:20:01
欧洲慈父,保密,致敬武松,尤利Yuri,2级评论,6,1,2024-12-26 16:35:50
IdealistZ,男,不如布洛芬,,1级评论,5,121,2024-11-10 23:21:11
qwq小涵qwq,保密,回复 @机械唯物论者99 :剑猫毒抗低,IdealistZ,2级评论,5,10,2024-11-12 10:01:35
机械唯物论者99,男,这是什么好方法吗？我在城中村，隔壁养了一窝猫，他妈的根本不管，就只管饭点给猫吃饭，一直都是散养，导致他家键帽天天往我家跑，白天在我家院子里找地方睡觉，晚上我家房坡上鬼叫，还他妈趁没人钻进屋里子偷东西吃，恶心麻了。弹弓这种不行，周围都是别人家的窗户，真打弹弓他家也能听见,IdealistZ,2级评论,6,34,2024-11-12 09:58:56
秋水鑒明,保密,弓不就是给人狩猎的吗？,,1级评论,5,44,2024-06-03 02:47:48
错吧,男,沙猫没啥，但是小区人多容易出现意外,秋水鑒明,2级评论,5,14,2024-06-03 13:58:31
秋水鑒明,保密,回复 @错吧 :这个确实。,秋水鑒明,2级评论,5,5,2024-06-03 14:45:50
压缩干粮,男,支持消灭流浪动物，为民除害[打call],,1级评论,6,147,2023-08-28 20:46:25
晓的小卒,男,"在中国，由南京大学李忠秋团队的最新研究表明，散养猫和流浪猫每年被捕食的兽类高达36.1-98亿只，鸟类26.9-55.2亿只，爬行动物14.8-43.1亿只，两栖动物11.3-38.2亿只，鱼类16.1-35.8亿只，无脊椎动物16.1-49.5亿只。据不完全统计，中国每年会增长4000万只流浪猫，这些流浪猫每年杀死超过100亿的动物，而在世界范围内，过去500年里记录在案的，猫已经造成了63个物种灭绝，世界自然保护联盟甚至把流浪猫列为排名第38的危险入侵物种。
根据国际自然保护联盟（IUCN）的定义，流浪猫是公认的，有红色警告的，最危险的入侵物种之一 。流浪猫在城市生态链里没有天敌，完全是人为因素造成的，流浪猫的繁殖数量无法通过原有的生态进行自动调节，所以对原有的生态平衡和其他物种会有灾难性的后果。流浪猫在世界范围内至少造成63个种群灭绝，流浪猫捕杀鸟类、爬行类、两栖类、鼠类等等这些动物，不仅是因为捕食也是因为娱乐。在各个大陆和海岛，流浪猫会通过疾病、虐杀和“恐惧”效应（fear-related effects）来大幅度减少其他种群的数量，最后使这些种群面临灭绝或成为濒危物种。
卫生部/农业渔业部/公安部共同发布的加强狂犬病预防控制工作通知中，第五条明确写了“凡未经疫苗，无标（记）牌的猫（犬）只一律视为野猫（犬），公安人员及人民群众均有权捕杀”",压缩干粮,2级评论,6,12,2024-01-31 21:12:22
小芭内er,男,流浪猫没那么好，你们看到可爱但我们这的猫天天半夜打架翻家里垃圾桶，烦死人了,,1级评论,5,95,2024-11-10 21:18:32
机械唯物论者99,男,我家隔壁的邻居喂了一窝猫，全年散养根本不管，导致天天他妈的往我家跑，在我家院子里晒太阳，打架鬼叫，还趁人不注意溜进屋子偷吃东西，真他吗恶心。而且邻居家还天天有人，不然早就趁没人的时候抓住键帽大旋风了，他妈的,小芭内er,2级评论,6,19,2024-11-12 10:01:29
小芭内er,男,回复 @机械唯物论者99 :一样，不过我这边大婶已经把猫儿子抓起来送走了,小芭内er,2级评论,5,2,2024-11-12 10:12:33
糊远我超爱的,女,我主要是反对哪种危险武器在公共场合，不过你处理流浪猫和我没什么关系因为按法律公民有权利处理的,,1级评论,2,38,2024-04-07 11:39:42
叔丁基钾,保密,但是xxn会剥夺你的权利的，防的不是流浪猫，流浪猫好处理，主要是对付那些女性猫孝子猫主子小仙女这帮垃圾,糊远我超爱的,2级评论,5,6,2024-06-25 15:38:47
释-天-武,保密,复合弓是合法的亲,糊远我超爱的,2级评论,5,3,2024-06-26 09:45:31
艺术之星空条药太郎,保密,这小伙长得就一脸正气,,1级评论,6,38,2024-01-29 15:15:13
斌天帝一世,男,"帮外公报仇，孝！
清理入侵物种，义！
敢做敢当，信！
一箭毙命，仁！
无惧强权，勇！
不讲脏话，礼！",,1级评论,6,91,2024-05-18 18:33:24
染流萤,男,搁古代都得像司马光砸缸一样上教科书的，现在却被mxz围攻，唉,斌天帝一世,2级评论,6,21,2024-05-18 19:10:00
我翻开历史一查,保密,回复 @染流萤 :唉唉,斌天帝一世,2级评论,4,0,2024-08-14 11:11:24
bili_73368767963,保密,我觉得应该把这些流浪猫收起来。专门放到一个场地里，让他们猎杀，还能收钱，两全其美。当然前提是，真的是流浪猫。,,1级评论,3,37,2025-04-25 10:02:29
垃圾破站误封,男,哈基米竞技场[滑稽],bili_73368767963,2级评论,5,15,2025-04-27 02:30:31
bili_73368767963,保密,回复 @-醉方休 :好名字,bili_73368767963,2级评论,3,1,2025-04-27 06:13:20
亿万路人甲-ywlrj,保密,这确实不对，公共场所使用复合弓容易伤到他人，这边建议致敬传奇药物分析级乙二醇[doge],,1级评论,5,130,2024-02-08 12:14:11
MLblackjack,保密,乙二醇和对乙酰氨基酚猫能吃出来，还是异烟肼好,亿万路人甲-ywlrj,2级评论,6,4,2024-02-19 17:42:01
赫尔漫迈耶,男,不太好，万一毒了其他动物呢，比如鸟，刺猬，暴露的尸体谁处理呢，会不会滋生病菌传播？射杀也是一个道理，就算狩猎的人主动处理尸体其实影响传出去也不好，最好还是坚持不投喂，鼓励领养，呼吁政府集体扑杀，当然我也没资格教别人做事，做了总比不做好吧,亿万路人甲-ywlrj,2级评论,6,4,2024-03-29 20:27:31
南海山野人,保密,猎猫并不违法。毁坏他人财物才违法。而小伙的行为无疑是救了鸟，点赞[支持],,1级评论,4,60,2024-04-11 08:21:39
Y6Y6D6S晓日,保密,没有主人在身边的猫，一律当作流浪猫看,南海山野人,2级评论,5,1,2024-05-27 19:52:31
yt9016,保密,傻子，物竞天择适者生存了解一下,南海山野人,2级评论,4,0,2025-02-02 21:01:14
・ω・请你吃饼干,保密,今天敢救鸟，明天就敢救人。这小伙子是个人物。,,1级评论,6,90,2025-02-27 18:47:19
可烦喵,男,"对本件事的评价要看他是为虐猫而杀的，还是说为了保护生态而杀的。如果是为了保护鸟类和生态，那么这件事本身没有错，但他在小区里用复合弓的方式不对。同时，我们批判此人的理由绝不能是″猫猫很可爱，我们不能杀猫猫。""本人是自然爱好者，同时也很喜欢猫狗，觉得它们可爱。但有时候为了生态做的事，是不得已的。我希望评论区里面舌战的两方，能够先认清视频中人的主观目的，再加以评价。同时希望有真正专业人士能合法的，安全的，有效而不仅仅是引流量的清除入侵物种。",,1级评论,5,917,2024-02-08 12:45:33
迦希女王的小小号,保密,论迹不论心，论心无完人,可烦喵,2级评论,6,128,2024-02-14 08:16:37
可烦喵,男,回复 @迦希女王的小小号 :论迹就是客观上保护了生态，危害公共冶安,可烦喵,2级评论,5,42,2024-02-14 09:25:47
烈火鸟雷泽,男,小鸟的命也是命。,,1级评论,5,91,2025-01-28 13:57:41
橘雀冬,保密,回复 @yt9016 : 想被爱了？,烈火鸟雷泽,2级评论,4,20,2025-02-04 09:49:02
橘雀冬,保密,回复 @yt9016 : 我已成为哔哩哔哩第207942188位转正会员，挑战转正答题考试获得80分。,烈火鸟雷泽,2级评论,4,11,2025-02-04 09:49:53
赛恩斯奥创,男,"猎杀流浪猫这个行为是正确的，但不对的是猎杀的方式。《动物防疫法》第三十条第三款规定：对于流浪猫应当清理处置。
某些人也别把你们的廉价爱心展露出来了，多去提升自己，至少做到理性思考再出来说话。",,1级评论,5,32,2024-10-22 22:38:20
我食百奇,保密,清置流浪猫应该报备，这样有点……,赛恩斯奥创,2级评论,5,3,2025-01-27 10:31:52
星极小姐是个蠢蛋,女,德才兼备，他才是真正的射术精英！,,1级评论,5,97,2024-03-13 18:26:42
MrHyyggt,保密,原来up之前发过原神视频啊，我突然释怀的笑,,1级评论,6,108,2024-02-08 17:54:34
电宠饲养员更新收藏,保密,神探！,MrHyyggt,2级评论,4,13,2024-02-12 14:47:07
公主一突xg,保密,第一定律的含金量！,MrHyyggt,2级评论,3,0,2024-12-07 12:10:59
AAA航天老太,男,一切都合理了起来,,1级评论,6,14,2024-03-20 09:46:31
足立otto,保密,支持正义小伙子[支持][支持][支持]好样的[支持][支持][支持],,1级评论,4,31,2024-10-15 14:46:51
抽象卿-烟卡异崎酱,保密,我喜欢你,足立otto,2级评论,5,1,2024-10-15 14:47:50
成分多到DNA打结的人,保密,这位复合弓英雄唯二的错就是公共场合携带危险物品和不处理尸体，想法是好的，理念是好的。我真是光顾爱猫忘记爱你了up,,1级评论,5,30,2024-04-10 08:11:49
小四今天又挨捶了,保密,回复 @账号已注销 :一箭下去你猫爹就投胎去日本了，虐字何来,成分多到DNA打结的人,2级评论,6,4,2024-06-11 14:22:27
22-_-33,保密,弓箭确实比较危险，应该使用化学药物投喂后掩埋处理,,1级评论,5,34,2024-03-07 10:18:23
n的久次方,男,回复 @宅东刚度 :肘击会被扑咬的，建议哈利路亚大旋风,22-_-33,2级评论,5,11,2024-03-07 15:37:35
宅东刚度,保密,不是使用肘击把猫肘似?,22-_-33,2级评论,5,4,2024-03-07 10:37:25
阿诺从小就很可爱,保密,"今天救鸟，明天救人，好小伙👍
今天骂人，明天打人，初生组织😋",,1级评论,6,29,2024-04-14 02:28:31
爱吃皮蛋居,保密,保护生态环境的英雄[给心心][给心心],,1级评论,5,36,2024-03-28 13:03:35
爱吃皮蛋居,保密,回复 @愛貓人士貓貓妹 :没有虐待他保护了更多的鸟类,爱吃皮蛋居,2级评论,5,12,2024-04-30 18:14:03
这里果然没有猫,保密,回复 @账号已注销 :这年头，一击必杀都成虐待了，猫孝子的道德标准之高令人敬服，想必日常生活中对待他人都是彬彬有礼如同圣人在世吧🤗,爱吃皮蛋居,2级评论,6,3,2025-03-01 01:48:42
星曈-Official,男,这不惩戒之箭吗？支持薄纱悠米,,1级评论,6,32,2024-03-03 10:25:45
彬斌逃过一杰,女,网友们泛滥的爱心少了，说明冷静分析事实的人越来越多了，这是一种好的趋势，或许是又一个思想觉醒的时代来临的前兆,,1级评论,6,46,2025-04-05 02:14:16
村梦酱,保密,回复 @Cassiav :先生的意思是指流向变了，始终是流吗？,彬斌逃过一杰,2级评论,5,6,2025-04-10 15:17:25
Cassiav,保密,并非如此,彬斌逃过一杰,2级评论,3,4,2025-04-06 02:35:31
乌合马户,保密,自古英雄出少年[呲牙],,1级评论,4,35,2024-02-22 11:36:17
望舒-已黑化-,男,你是不是箭法不如这个小伙子啊,,1级评论,6,31,2024-01-23 11:52:41
Suuaji,男,根据国际自然保护联盟（IUCN）的定义，流浪猫是公认的，有红色警告的，最危险的入侵物种之一 。流浪猫在城市生态链里没有天敌，完全是人为因素造成的，流浪猫的繁殖数量无法通过原有的生态进行自动调节，所以对原有的生态平衡和其他物种会有灾难性的后果。流浪猫在世界范围内至少造成63个种群灭绝，流浪猫捕杀鸟类、爬行类、两栖类、鼠类等等这些动物，不仅是因为捕食也是因为娱乐。在各个大陆和海岛，流浪猫会通过疾病、虐杀和“恐惧”效应（fear-related effects）来大幅度减少其他种群的数量，最后使这些种群面临灭绝或成为濒危物种,,1级评论,5,25,2024-03-29 20:33:57
吔呼呼,保密,我也要来复制了xd,Suuaji,2级评论,5,0,2024-10-15 21:56:34
Suuaji,男,回复 @东爱璃小脚滂臭ruler :必须行,Suuaji,2级评论,5,0,2024-08-07 13:31:37
大清第一小黑子,保密,尽量在夜深人静的时候做掉它们，不要危害到人,,1级评论,4,32,2023-08-05 00:31:23
6548588555,男,回复 @Sir_Daryl661 :到处都是路灯你还看不见啊[吃瓜],大清第一小黑子,2级评论,6,1,2024-01-28 10:04:04
八八毫米开罐器,保密,回复 @bili_1406208981 : 我夜视仪怎么自己亮了,大清第一小黑子,2级评论,6,0,2024-04-02 23:13:39
纳西妲永远的花之骑士,保密,帝弓司命射杀繁育星神,,1级评论,5,24,2024-05-08 20:00:42
巡海游侠-忆者玛拉妮,保密,致敬传奇巡猎命途,纳西妲永远的花之骑士,2级评论,5,1,2024-05-08 22:09:31
账号已注销,保密,还真的是凡繁育星神,纳西妲永远的花之骑士,2级评论,0,0,2025-03-24 16:58:09
