用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
GLORRRIAAAA,保密,部分喂流浪猫的不就是想免费撸猫。既不想承受在家养猫的一些麻烦（有味道啊要花钱绝育打疫苗看病啊），又不想花钱去猫咖之类有偿撸猫的地方。只图自己开心完全不顾他人，总之就是极端自私了。,,1级评论,4,8149,2021-09-01 22:27:27
请叫我陛下哈哈哈,保密,我朋友医学院，有兽医专业，然后实操课，老师带领着学生几乎把大学里所有猫都噶了，现在在抓外面的猫和大学里的新猫[笑哭],GLORRRIAAAA,2级评论,5,1544,2021-09-02 11:02:23
王祖贤B站分贤,保密,回复 @请叫我陛下哈哈哈 :真好，现在大学里流浪猫太泛滥了，之前宿舍楼下有几只流浪猫，有些“有爱心”的同学在花坛里给搭了个窝，从那之后花坛附近就总有死鸟的尸体，但是喂养流浪猫的“有爱心”同学好像从来看不见这些小鸟的尸体，后面仅仅一学期就生了十几只猫，要她们抓去绝育就各种理由，什么抓不住啊，什么学生没钱啊，巨无语，最后还是保安解决的（物理上）,GLORRRIAAAA,2级评论,6,1037,2021-09-02 11:11:25
遛鸟老大爷,保密,还有一个问题，就是我不知道其它喂猫的爱猫人士怎样，我们小区的喂猫的好心人倒出来很多猫粮还放了水在猫粮旁边就导致流浪猫根本吃不完猫粮，然后每次经过那些猫粮旁边就有一股坏了的油的味道口罩都挡不住，然后苍蝇蚊虫就围在那里，我很担心滋生蟑螂,,1级评论,5,1209,2021-09-01 18:14:13
波尔布te,男,这直接可以找物管了,遛鸟老大爷,2级评论,5,78,2021-09-01 18:26:15
遛鸟老大爷,保密,回复 @zhx楚里倾齿 :我也是这么想的，前面天气还不热雨水也不多，我想着猫也不容易，这也是一片善心,遛鸟老大爷,2级评论,5,12,2021-09-01 18:55:48
清蒸鲽鱼1996,男,我们小区有个喂流浪猫的阿姨，只要看见流浪猫就带去割蛋。,,1级评论,6,13826,2021-09-01 19:07:58
吸猫选手,保密,这不得办个vip嘎蛋卡[doge],清蒸鲽鱼1996,2级评论,4,2106,2021-09-02 10:03:51
金乌是只小太阳,女,回复 @宋居寒_活差 :给我笑yue了哈哈哈哈哈哈哈哈哈哈,清蒸鲽鱼1996,2级评论,6,292,2021-09-02 10:06:07
四月的龟龟,男,[辣眼睛]大学生和情侣遗弃猫狗也不是新鲜事，但请各位在饲养动物前能不能想一想自己真的有资格饲养。,,1级评论,6,6673,2021-09-01 17:17:45
量子老头_爱因斯坦,保密,说白了这类人啊，跟郑爽没啥区别[辣眼睛],四月的龟龟,2级评论,6,573,2021-09-01 17:25:45
阴阳师御风者,保密,有一说一贼离谱，我还真没听说过什么大学允许养猫养狗的（起码南京没有大学允许），他们养这些东西是违规了吧？发现会被记处分的。,四月的龟龟,2级评论,6,345,2021-09-01 18:09:27
Maurice_seran,保密,"真心希望楼长的这个视频能上首页，播放量千万[保佑]
我就是做TNR的，别人喂猫，我围观然后抓猫去绝育[藏狐]TNR是真的难，我这的猫只有晚上才能定期出没，所以我抓猫得先放我这隔离一晚。有些猫应激能叫一晚上[藏狐]根本睡不着，而且还担惊受怕邻居会敲门[藏狐]
绝育一只猫+寄养一周优惠价550，真的是花钱如流水然而杯水车薪。很多猫怕人，根本抓不到，所以只能看着每年生生生[辣眼睛]",,1级评论,6,7783,2021-09-01 19:28:00
龙是龙尘的尘啊,男,刚才上了热门，但是热度又下来了。这种视频一直是重点关注（压制）类型,Maurice_seran,2级评论,6,173,2021-09-01 20:24:19
朗尼酱最可爱了,男,怎么说，遗弃的人太多了，我自己也养猫，但是三只都是发情就绝育，其中两只还是领养的。第二只领养的时候是在一个宠物店里，那会还在上大学，自己做兼职在外面租房养猫，宠物店老板本来是坚决不给学生领养的，但是我家老大所有驱虫疫苗都在他家打的，可能我表现得比较负责，老板还是给我留了一只小猫，大学两只和我一起回来，我后面又买了一只豹猫，但是都是只要公的，因为绝育方便。我还有个妹妹，现阶段在上小学，也很喜欢猫，前段时间她出去玩在路边碰到一只小流浪，非要带回来，我不同意，她海哭，指责我没同情心。我告诉她“喜欢要自己养，自己对她负责，你现在有什么能力去养猫吗？带回来还不是丢给我们给你养？我喜欢猫，是喜欢我的猫，不是说全天下所有的猫我都要去管，你先把小升初考试搞好再说别的事吧！”。喜欢可以，有爱心也可以，但是所有的前提都是要先学会负责。,Maurice_seran,2级评论,6,248,2021-09-01 22:02:34
珍珠塘鳢,男,我觉得，那个绑架代替购买的up做的才是最对的，直接一窝端，大猫咔咔绝育，小猫找人领养，又保护了鸟类啥的，流浪猫也能有个家,,1级评论,6,6882,2021-09-01 17:38:36
铭果子能吃不,男,其实可以借鉴下外国的经验，流浪收容满7天就人道处理了，真的有喜欢的就付绝育费用后带走，哪怕真的后面又遗弃了，起码费用这一块落实了,珍珠塘鳢,2级评论,6,2248,2021-09-01 18:32:42
AlexLeigh,女,回复 @铭果子能吃不 :我们学校的收容所是先做训练和绝育才给领养，不够地方就找家庭寄养，一般安乐的是性格实在不适合领养或者已经很长时间没有人领养的老猫和残疾猫，而且物美价廉，我们去的时候120刀两只[妙啊],珍珠塘鳢,2级评论,6,156,2021-09-01 21:35:00
怪兽无敌Z,保密,顺便一提，很多人偷换安乐死和虐死的概念,,1级评论,6,7192,2021-09-01 20:51:13
sqzn_CWW,男,（大佬球）捕杀流浪猫我一百个同意，但虐猫的人不得好死,怪兽无敌Z,2级评论,6,431,2021-09-01 21:09:47
直暴极光,保密,楼主意思不是说是安乐死不要虐杀吗，直接让他们不要感觉痛苦直接一发gg就行了，像那种虐杀致死的是不是感觉味不对了,怪兽无敌Z,2级评论,6,240,2021-09-02 04:51:29
RXY-诺兰,男,我记得上海有貉在某小区猎杀了一只猫，那些人心疼的呀，怎么不提弱肉强食了，双标算是被他们玩明白了[无语][无语]而且人家貉还是二级保护动物，上海市重点保护动物,,1级评论,6,5622,2021-09-01 19:52:33
RXY-诺兰,男,回复 @若成无愧 :你的同学好勇啊！他不怕黄大仙召唤警察蜀黍找他喝茶，大仙怎么也是三有保护动物,RXY-诺兰,2级评论,6,1072,2021-09-02 02:23:23
若成无愧,男,我们学校，黄鼠狼叼走一只猫仔，有同学去堵黄鼠狼的窝。。[藏狐],RXY-诺兰,2级评论,6,749,2021-09-02 01:28:57
远方飘来的吐槽君,保密,我为什么反对投喂流浪动物？就因为当年眼睁睁看着一群爱心泛滥的学生有组织地投喂，硬生生让新校区里最初几只流浪猫在几年时间内繁衍出不下50只。新校区地处山林，校园范围内栖息大量野生鸟类，甚至有一种叫声很奇特的二级保护鸟类。因我校寒暑假期间学生一般不留校，野猫族群壮大之后寒暑假缺乏食物，后山基本就没鸟叫了。等鸟基本死绝之后，这群野猫又渐渐学会了捞学校湖里养的锦鲤。学校试图抓猫驱逐，就有部分极端爱猫学生围困阻止负责抓猫的保安，在网络平台攻击学校。后来学校也麻了，爱咋咋，锦鲤也不养了，每年投点普通鱼苗意思意思。本来挺好一地方，远离市区，有山有水，鸟语花香，偶尔也能看见兔子松鼠等各种小动物，后来听留校当辅导员的同学说现在就剩猫多，多到鱼苗都不投了，因为不光猫抓鱼，还有沙雕学生带鱼笼捕鱼喂猫。[微笑],,1级评论,6,9127,2021-09-02 11:27:44
Annie-_-Leonhart,男,不开或者给个处分可惜了啊,远方飘来的吐槽君,2级评论,5,477,2021-09-02 17:36:27
糊了吧唧的秋秋,保密,回复 @末影之眼SaMa :开除或处分过分了，应该给予教育并且解散这个组织，同时多加宣传喂猫的坏处，如果直接开除或处分那没有学生敢去这个地方上学。,远方飘来的吐槽君,2级评论,6,763,2021-09-02 18:11:15
河冰·浮生,女,"[藏狐]致评论区说论文统计模型有问题的人：
不知道你们SCI阅读量如何，看过多少文章，对不同统计方法有多少了解，不过目前研究刚起步，每一篇都是珍贵的足以作为证据的“证据”
在有“更完善的统计模型，更大样本量，更好的新的文章”出来之前，这些都是证据等级最高的文章，远远高过任何一种“个例”、“我看见”、“我们这里”等主观臆测
如果你觉得这文章不彳亍，那更好，作为有追求的科研人，最乐于见到的难道不是别人的文章有一定想法但是又有缺点吗？把它的缺点，它的gap一克服，就是非常好的选题思路，一篇好文章，同时由于前人的铺垫，也更容易被人去关注
所以也非常期待评论区的诸位可以自己动手，用更好的统计模型来解决这件事情，毕竟热点问题，影响因子容易上天，高分文章，谁不想要呢[OK]",,1级评论,6,5496,2021-09-02 08:27:12
这名字毫无节操,保密,不知道为啥这条回复没人赞，大概B站的用户真的不怎么写论文吧,河冰·浮生,2级评论,6,276,2021-09-02 15:40:45
粉名的旧金山,男,回复 @这名字毫无节操 :你问他们，pubmed，nature，sci是啥，他们表示是新游戏吗[doge][doge],河冰·浮生,2级评论,6,404,2021-09-02 20:43:04
特级彩虹屁制造机,保密,我之前在贴吧看过一哥们在校区出门遛鹦鹉，就放手上，一只流浪猫窜出来一个飞扑把鹦鹉脑袋咬了[囧],,1级评论,6,1664,2021-09-01 17:23:48
M桑今天没睡醒,女,我们学校就是，我一个学姐鹦鹉调皮从上手跳到地上，落地立马就窜出来一只流浪猫把鸟咬死了，然后师姐贼难过去后山找个地方把鸟埋了，结果流浪猫还把鸟的坟给刨了[笑哭]，她是真的惨,特级彩虹屁制造机,2级评论,6,723,2021-09-01 17:40:57
炒鸡蛋大师,女,我觉得很多人在社交媒体上晒自己学校流浪猫狗说什么真可爱真亲人，我只觉得真可悲,特级彩虹屁制造机,2级评论,6,190,2021-09-01 17:50:10
荷冷鱼鱼子,女,"人权高于猫权这居然需要up强调？
世界怎么了？好陌生",,1级评论,6,9954,2021-09-02 12:46:39
夕立夕朝,保密,人离大自然太远，沉陷于平常的畸形关系，不跟他们提他们不记得,荷冷鱼鱼子,2级评论,6,468,2021-09-02 13:02:13
zjy_828,男,现在不少人脑子有问题完全忘了自己也是人类。,荷冷鱼鱼子,2级评论,6,510,2021-09-02 13:58:46
账户名违规,男,"“你喜欢猫吗？”
“喜欢，很可爱”
“那你讨厌蚊子吗？”
“讨厌，夏天烦死人”
“如果有几类物种可以为你驱逐蛇虫鼠蚁，且对你的生活几乎不构成任何影响，那你愿意接纳它吗？”
“那肯定啊，这么完美的物种必须接纳”
“以前很多，可它的天敌越来越多，将它们捕杀了”
“谁这么可恶？”
“猫”",,1级评论,6,4842,2021-09-02 14:19:22
嘂儿,保密,所以说就该把猫猫抱回家，我家猫猫跟我家白额高脚酱让我家十年没有蚊蝇蟑鼠[Cat_chips]而且猫猫已经学会友好对待小蜘蛛了,账户名违规,2级评论,6,582,2021-09-02 19:46:59
又是贫穷的一天呢,保密,我家猫是废猫哈哈哈哈哈哈哈哈,账户名违规,2级评论,6,35,2021-09-02 20:45:42
古德派森,保密,中科院最近发的科普，评论里一些猫奴就闻了味来了,,1级评论,6,162,2023-06-05 00:41:07
呜呜呜你干嘛咬我,男,希望国家赶快出手啊[保佑],古德派森,2级评论,6,14,2023-06-05 07:57:30
筱叶玲,保密,是要加紧整治了，本土的野生动物资源可不能让外“人”嚯嚯完了,古德派森,2级评论,6,9,2023-06-11 17:40:01
摘不掉帽子,保密,刚收养了一只,,1级评论,5,127,2023-10-17 07:26:09
玊-嘂,保密,好好好，支持真正的爱猫人士收养流浪猫[支持],摘不掉帽子,2级评论,4,17,2023-10-17 23:31:36
摘不掉帽子,保密,回复 @玊-嘂 :谢谢您,摘不掉帽子,2级评论,5,4,2023-10-18 00:28:27
紫华墨染,保密,"单独发一遍吧，最好别用用安乐死之外的手段处死猫，什么一击毙命，下手快准狠不虐待也别。
安乐死的形式不仅是保护猫，还有保护处死猫的人，让他们不用使用暴力手段，不因为过多使用暴力，对自己造成负面影响。
屠户杀猪杀鸡人家赚钱吃肉，目的非常现实明确。杀死的行为直接带来吃肉和挣钱的反馈。他们吃肉挣钱才会感到快乐，他们能明确的体会到杀不是让他们快乐的事儿，吃肉才是。
但处死猫这件事，你杀死猫后是得不到什么明确的反馈的，如果不是安乐死的方法，暴力行为场景对人的刺激不可忽视（别杠，网上大家勇猛的很提枪上战场，开膛破肚都小事儿。现实看人跳楼一地血，大多数人都直接ptsd要治疗。），很难保证处死猫的人不会在长期的行为下，直接将暴力屠杀和内心解决流浪猫带来问题的满足感挂上钩。
说个可能不太贴切的例子，刽子手行刑官，他们明确知道自己杀的是该杀的人，下手一击毙命绝不留情，做的是大好事。但很多都会因为暴力血腥的行为场景出现心理问题。
还有，你用非安乐死的行为处理猫，也容易让大量为了满足自己暴力欲望，和讨厌猫的人进入治理流浪猫的队伍。这很容易就因为组织成员成分直接和真正喜欢猫和在养猫的人针锋相对起来。
这会让工作更难做，up主出视频也是为了让真正的爱猫人士了解到安乐死流浪猫的必要性，转变他们的看法，合作才是解决问题的最好手段。
所以怎么看，都不要个人以安乐死之外的形式去做！",,1级评论,6,2893,2021-09-03 15:58:39
爬行天下,保密,杀是现阶段的无奈之举，要杀也不能乱来，支持！,紫华墨染,2级评论,6,159,2021-09-03 16:04:27
Sapphire半夏,女,有点接近医学生处死实验动物吧，饲养一个阶段的实验动物哪怕没有经过实验按照正规流程也是需要处死的,紫华墨染,2级评论,6,191,2021-09-03 18:43:06
噗噜噗噜吐泡泡糖,保密,宿舍楼里两位大善人把两只流浪猫喂熟了以后，母猫怀了，天天想往房间里钻要生崽。现在终于是在一楼走廊生了，还生了五只。公猫早上还叼着老鼠来喂，吃又不会把老鼠全吃干净。谢谢，楼道已经是骚味了，再过两天就该有腐臭味了[无语][无语]真是谢谢那两位大善人。我舍友当时说猫咪这么可怜，在屋里生怎么不行。她还是本地人，问她为什么不带回自己家，就说自己家养不了[呆]但是可以在屋里生[疑惑],,1级评论,6,489,2022-05-11 17:02:34
小花枝嘿嘿嘿,女,直接匿名举报,噗噜噗噜吐泡泡糖,2级评论,6,32,2022-05-12 21:28:26
噗噜噗噜吐泡泡糖,保密,回复 @小花枝嘿嘿嘿 :早就举报了，科教科让宿管赶走，宿管不干[呲牙],噗噜噗噜吐泡泡糖,2级评论,6,75,2022-05-13 07:41:26
斜坡薛帕德,保密,说个真事，十年前，小区里的野猫各种骨瘦如柴、满身脏脏的，那时候没人觉得可爱，听见点风吹草动立马跑，更别说见到人，而今天楼下的野猫胖的和狗一样，见到人还能圆圆的地上睡觉,,1级评论,6,799,2021-09-01 17:50:54
棹风,保密,可能是绝育过了。先看看有没有剪耳朵。,斜坡薛帕德,2级评论,5,22,2021-09-02 03:26:59
一直都在感恩,保密,风气罢了，十年前是狗市火热，现在的潮流是养猫，有可能十年后又换了。,斜坡薛帕德,2级评论,5,180,2021-09-03 01:36:31
白鲟不好吃,保密,"后排做一点点古埃及信仰的科普。
古埃及人不背锅，他们其实是多神崇拜，什么都崇拜，有个法老试图改成单神崇拜（太阳神）就被反了，他一去世信仰立马改回来。
说古埃及崇拜猫，但猫也只是月神的形象，古埃及太阳神是鹰隼，圣甲虫（蜣螂）地位也相当高，埃及猫被崇拜其中之一的原因就是埃及人认为猫额头的图案像圣甲虫。古埃及崇拜的神里，还有鳄鱼神，蛇神，豺狼神（阿努比斯），狮子神，母牛神，蝎子神…然后到猫孝子眼里只剩猫了可还行，木乃伊当场被你们气的复活[2233娘_喝水]",,1级评论,6,598,2021-09-05 08:14:40
对你温柔疼爱,男,懂点埃及神话的都知道埃及上位神太阳神拉的形象是鹰,白鲟不好吃,2级评论,5,49,2021-09-08 23:19:45
喵咪电钻,保密,我不深入了解也知道古埃及人是动物崇拜，阿努比斯的狗头那么经典咋有人只看见猫呢,白鲟不好吃,2级评论,6,94,2021-12-10 23:05:54
蓝色赤焰,男,好家伙敢做出视频来说这件事真的勇......看过太多人说这件事被喷的不行，还好来得早，默默支持一波up吧。流浪猫问题很严重，不是什么“可爱”就能置之不理的事情。一定不要弃养宠物啊,,1级评论,6,898,2021-09-01 17:20:49
椰椰马蹄,女,我在微博有个喂流浪猫的视频下面说不要随意喂养流浪猫已经被喷得无语了，说乐山大佛让我去坐[滑稽]我觉得她们坐比较合适[打call],蓝色赤焰,2级评论,5,49,2022-09-24 15:04:26
呈傅,保密,回复 @我当然是个酷仙女啦 :不好看，在电影院尿了三个小时,蓝色赤焰,2级评论,3,4,2023-09-14 22:53:34
川穹蚀,女,up主的观点到现在也不过时，刚刚在抖音解释被一大堆人骂[无语],,1级评论,5,390,2023-07-06 12:41:25
境界w轮回,男,你看看下面儿，我发的截图，这猫教主老逆天了。,川穹蚀,2级评论,6,5,2023-07-06 17:41:41
玄元风辰,女,友情提醒，抖音上刷刷视频就得了，千万不要点开评论区，除非你是想欣赏迷惑的物种多样性[脱单doge],川穹蚀,2级评论,6,105,2023-07-11 17:01:42
零年START,男,不少人动不动就说猫猫又没错，它们也不想这样，都是人类自己的原因。。没错，入侵物种像什么罗非鱼美国牛蛙清道夫巴西龟什么的的确大部分都是人类的原因，但人类自己犯下的错，就要由人类自己解决掉，流浪猫也一样，一直说它们多无辜，那巴西龟清道夫这样的也是被遗弃的宠物和观赏动物也挺无辜，不一样需要清理掉吗，难道因为它们无辜就任由它们泛滥？拿这种理由说是属实没啥意义。。。,,1级评论,6,1191,2021-09-01 17:32:29
Chowwer,保密,跟有没有辜关系不大，主要是可爱所以人们才下不去手。,零年START,2级评论,5,34,2021-09-01 18:12:45
零年START,男,回复 @Chowwer :就像楼长说的，无非就是找了个自认为正当的理由给自己开脱，只不过没啥实际意义就是了。。。,零年START,2级评论,6,96,2021-09-01 18:15:13
没头像给你们省流,女,"入侵红火蚁进入我国已经有好几年并嘎嘎乱杀，这是弱肉强食自然演化，并且确实消灭了一些害虫，有很大功劳，支持捏😋
而且我觉得入侵火特别威风可爱，我是入侵火粉丝，我平时买好多饼干和面包虫投喂入侵火蚁巢并不准其他动物分享这些饲料，什么你被入侵火咬了差点过敏死？那是你活该去扰动它的巢，我可爱的入侵火怎么会害人呢，都是它走投无路了。你骂我就是恰流量网暴我，呜呜我要玉玉了",,1级评论,6,350,2022-07-16 22:40:23
路遥知马力奥利奥,男,原来是友军[doge],没头像给你们省流,2级评论,5,10,2022-07-16 22:47:59
账号已注销,保密,味太冲了[傲娇][歪嘴][藏狐][嗑瓜子],没头像给你们省流,2级评论,0,13,2022-07-17 01:30:24
椰子与香子兰,男,人在美国犹他州，街上可以随便看到松鼠，兔子，鸽子甚至小鹿，但就是看不到流浪猫狗，一只都看不到,,1级评论,6,914,2021-09-02 20:51:01
澜釉子,女,因为发达国家对猫狗治理的好啊！！每个大城市都有官方的猫狗领养中心，大家也对领养意识更高，我之前在新西兰也是一样的感觉！,椰子与香子兰,2级评论,6,311,2021-09-02 20:53:30
爬行天下,保密,羡慕,椰子与香子兰,2级评论,6,101,2021-09-02 20:54:06
黄橙子-王者菜鸡,保密,别说流浪猫是入侵物种了 他们已经说人才是入侵物种了[doge],,1级评论,5,58,2023-10-22 18:26:43
易月叶,保密,这什么脑子呀，这货不投畜牲道吗？,黄橙子-王者菜鸡,2级评论,5,23,2023-10-22 19:17:20
玄元风辰,女,坏了，全国每个人都吃过肉类，死后都得下地狱了,黄橙子-王者菜鸡,2级评论,6,17,2023-10-22 20:42:00
账号已注销,保密,"上次我在某虐猫新闻的视频下说了句，流浪猫可以捕杀，但没必要去虐待，然后一群生了耶稣的来骂我。
有说我容不下流浪猫的，流浪猫的产生是人类的错，我却去恨一只猫，问题是流浪猫是我遗弃的吗？我凭什么给遗弃猫的人买单；
有说流浪猫根本不具有捕食能力的，我家两个多月的猫已经能抓坏了三件衣服，跳上一米多的栏杆，把我的手咬出血洞，挠出血痕了，这叫没捕食能力？还有说要把我弄死的，为了一只猫要把人弄死，可真有爱猫人士的臭味。
哦，最可笑的是在那个视频底下，还有一个弃养猫的，说他刚把自己家那只脾气不好的猫给“自由”了，希望不要遇上虐猫的bt[无语]没有一个人去骂他呢。",,1级评论,0,2653,2021-09-01 17:38:40
茂林_修竹l,保密,我家猫在家里都能把一只乌鸫亚成鸟抓进来鲨了，我家阳台是有防盗网的[捂脸],账号已注销,2级评论,6,75,2021-09-01 17:53:45
英雄王的节操,男,虐杀小动物的和什么都说原谅的圣母都都是自我中心的小学生和变态，就看他们喜欢的是什么，b站也是一堆,账号已注销,2级评论,6,88,2021-09-01 17:58:13
电脑不上网,保密,扑杀≠虐杀，支持科学处理流浪动物，但反对给虐待动物当挡箭牌。动保法比起保护动物不受伤害，更重要的应该是惩治遗弃动物的行为。绝育的观念到现在都没普及，但流浪动物等不起，该怎么处理就怎么处理吧。我有猫，一只还是收养的流浪，真的不能理解那些打着爱猫的名义反对绝育的人，又养不起小猫又不肯绝育，谈个屁的爱猫。,,1级评论,6,297,2021-09-01 23:59:34
黄优唧,男,集中处理 在处理之前限时开放公众领养 领养必须交钱绝育 处理之后集体焚化 可以减缓对工作人员的心理冲击,电脑不上网,2级评论,6,28,2021-12-22 12:14:43
Patriciaphilosophy,女,动物安乐死主要方法：注射过量麻醉，二氧化碳气室，快准狠破坏头骨或者拧断脖子。无论是哪国的安乐死办法都没有把猫慢慢折磨还洋洋得意拍视频发到网上供人取乐。望周知。,,1级评论,6,125,2021-11-23 15:57:27
Patriciaphilosophy,女,有些人可会偷换概念了[小电视_发愁]甚至还有问打死蟑螂蚊子蚯蚓的，希望你知道不是所有动物都有处理情感的能力，也不是所有动物都能让人容易情感寄托。,Patriciaphilosophy,2级评论,6,22,2021-11-23 15:58:42
Patriciaphilosophy,女,评论有人说资金问题，有官方组织负责这些的话，我会捐钱，我相信很多和我一样的人也会捐钱，这就不劳您操心了(=・ω・=) 而且这世道有流量赚钱的姿势很多，看看宠物博主是怎么生存的（⌒▽⌒）至于用结果论抬杠的深井冰我只想给你一拳头不想和你说话(^・ω・^ ),Patriciaphilosophy,2级评论,6,28,2021-11-26 13:14:32
花青兔,保密,爱猫人士还特别喜欢说什么地球不只是人类的，拜托，地球不只是人类的，还是野生动物的好不好，宠物好好养在家里就行了，遗弃或者在公共场合喂流浪猫难道不是打扰人类和其他小动物吗,,1级评论,5,125,2024-03-07 21:41:21
Smiechu1991_,男,人类自己都治不好就期望自己能拯救世间一切，笑死🤣,花青兔,2级评论,5,21,2024-03-11 07:41:20
Destiny晨星,男,遗弃猫的不就是这群“爱猫人士”吗,花青兔,2级评论,6,1,2024-07-31 20:31:27
我好想食肉桂卷,女,不得不说自从我们小区处理了流浪猫狗之后，明显感觉到鸟变多了，麻雀鹡鸰斑鸠白头鹎都来安家了，好久没出现的黄鼠狼和刺猬也冒头了。最重要的是这个春天晚上没有再听见过那种刺耳的叫声，每天都能睡个好觉之后感觉世界都明亮了[星瞳_呜呜],,1级评论,6,210,2023-05-28 13:49:45
里桃华,保密,鸟叫声不比猫那尖嗓子好听,我好想食肉桂卷,2级评论,6,14,2023-06-16 05:49:22
厄界,女,回复 @呆呆呆呆呆毛吖 :但是一般的鸟不会大晚上叫，顶多凌晨34点叫，我唯一一个听到大晚上叫的好像还是四声杜鹃(声音很像)，猫晚上叫比鸟叫要渗人，特别是发情期间的猫，能从晚上叫到天亮，当时我在宿舍凌晨3点听到的，我有一个情感波动比较大的舍友都崩溃了,我好想食肉桂卷,2级评论,5,35,2023-06-26 00:07:49
宝宝别闹我要补刀,保密,看这个,,1级评论,5,44,2024-03-23 12:56:10
蓝兰泉,保密,还是爱猫人士懂爱猫啊,宝宝别闹我要补刀,2级评论,6,8,2024-03-26 19:33:37
塞壬歌谣,男,哈哈哈下的毒,宝宝别闹我要补刀,2级评论,4,2,2024-03-27 16:09:57
GRigioGatto,保密,"曾经有个朋友，一起出去只要遇到流浪猫她总要逗一下摸一下，居住环境周围的她还总去喂吃剩的东西
我 ：你为啥总逗流浪猫 ？还非要摸一把
她 ：可爱啊
我 ：我怎么记得上次你被蟑螂吓得半死 ？那你怎么不去摸蟑螂呢 ？
她 ：蟑螂又丑又脏，能一样么
我 ：到底是嫌丑还是嫌脏 ？
她 ：脏
我 ：然而蟑螂去过的地方大概率流浪猫都去过，什么下水道、臭水沟、垃圾堆、垃圾桶
她 ：但是猫可爱啊
我 ：所以问题不是脏，而是丑喽 ？
她 ：咦 ~ 你别说了，我突然想洗手
[doge] [doge] [doge] [doge] [doge] [doge]",,1级评论,6,1013,2021-09-01 21:07:58
一只银喉长尾山雀,女,稍微有点常识的人摸了外面的动物都要洗手消毒吧[小电视_发愁],GRigioGatto,2级评论,6,74,2021-09-01 22:21:06
GRigioGatto,保密,"回复 @阿罗-罗罗罗 :我感觉她摸流浪猫就像摸自己养的猫似的，只要表面看起来不脏，她就觉得不脏
回家肯定都会洗手的，不过路上可能就买个什么饮料喝，或者拿手机之类的，我就感觉很不干净",GRigioGatto,2级评论,6,91,2021-09-01 22:29:15
