用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
黄瓜三明治真好吃,保密,我不止一次见到过流浪狗子会看红绿灯或者跟随行人一起过马路，确实聪明,,1级评论,6,946,2025-03-26 09:13:52
酱锝磺,保密,回复 @力挽雕弓射天狼 :我也是，我过马路走斑马线会等老奶奶和小孩子一起过马路，我总觉得我一个人不那么容易让车减速。,黄瓜三明治真好吃,2级评论,5,8,2025-03-27 09:10:01
会开再时何心湖,男,狗的视力不如猫 但是狗比猫聪明的多,黄瓜三明治真好吃,2级评论,6,32,2025-03-26 10:49:20
阳光般的微笑桀桀桀,保密,狗子能看懂红绿灯就很神奇[滑稽],,1级评论,6,749,2025-03-26 11:01:59
匡八盖,男,看不懂，但是知道跟人一起走，或者车停了再走,阳光般的微笑桀桀桀,2级评论,6,360,2025-03-26 11:29:32
半拉油饼,保密,虽然分不清颜色但哪个灯亮了能走还是知道的,阳光般的微笑桀桀桀,2级评论,6,126,2025-03-26 13:00:46
Dr白昼,男,其实蛇饼，赖克宝饼更多，尤其是快要下雨的时候,,1级评论,5,781,2025-03-26 15:54:07
破面の带土,保密,回复 @梦境的探险家 :塔姆,Dr白昼,2级评论,4,5,2025-03-29 12:41:02
梦境的探险家,男,赖克宝是什么,Dr白昼,2级评论,4,80,2025-03-28 14:32:53
亚里鼠多德十二世,保密,猫的大脑上的褶皱比我的子弹袋上的都少,,1级评论,6,779,2025-03-28 07:40:38
繁华doc,保密,"啊 我还在想不都是弹匣嘛
哪里来的子弹带哈哈哈哈哈",亚里鼠多德十二世,2级评论,5,32,2025-03-28 09:48:12
未能击穿敌人的护甲,保密,叫拦子皮好不好,亚里鼠多德十二世,2级评论,4,16,2025-03-28 20:17:41
飞翔的驴宝宝,保密,以前压过一次猫  这猫真的是蠢死的  突然从草丛里窜出来  我看到后马上刹车了  也刹住了  结果这蠢猫就停马路中间一脸吓到了样子盯着我看  就是不跑  那我就寻思着我先走呗  然后就从它上面开过  结果明显听到后轮嘎嘣一声[吃瓜],,1级评论,5,727,2025-03-25 19:26:07
右擒苍,保密,达尔文发力了,飞翔的驴宝宝,2级评论,6,75,2025-03-26 02:12:17
圣者所罗门,保密,蠢猫不仅不跑，甚至想用前爪攻击拍打车。,飞翔的驴宝宝,2级评论,5,95,2025-03-26 13:19:53
点燃飘渺人生,男,狗饼大多数小狗，而且大狗会教小狗过马路，有的时候还会按住他们，这是我车载拍到的,,1级评论,6,569,2025-03-28 09:22:31
伊地知哈毕夏,保密,大狗大狗教教教！[笑哭],点燃飘渺人生,2级评论,5,312,2025-03-28 10:02:40
点燃飘渺人生,男,回复 @塞伯坦医疗兵 :行车记录仪，放大后像素不够了,点燃飘渺人生,2级评论,6,60,2025-03-28 12:41:49
诵吾,男,猫很神经的，我电动车走夜路，它在路边见我车就预判着我车速钻我车轮底下，我也不急刹，稳稳的碾了过去，本以为车会失控，没想到就和过减速带一样顺。,,1级评论,5,617,2025-03-29 00:02:19
夜笙歌裁决,保密,舒服了，小时候有的猫就是这样的 ，我爸开车过去这猫过马路 都跑掉了非得搁那来回跳，我爸刹车把我水撒一身 猫有时候蠢得要死,诵吾,2级评论,5,63,2025-03-29 01:15:09
倾城丿慕华,男,回复 @夜笙歌裁决 :太真实了，我骑电动车，突然窜出来一只猫又突然回头跑，给我整一个急刹，真难崩[笑哭],诵吾,2级评论,5,11,2025-03-29 04:23:16
糍耙团子航owO,保密,狗倾向于就近避险，而且狗知道路上这些铁盒子只是在走自己的路，有既定的路线，并不是要吃了自己，但猫太蠢了，不知道这些，遇到飞速而来的车更偏向于逃回来时的方向，结果就转头钻车轮子下面,,1级评论,6,587,2025-03-26 16:55:51
秦始皇广州分皇,保密,我遇到过蠢猫蹲路边等车快到跟前了才突然冲出来碰瓷，也见过蠢猫明明都快走到路对面了，结果这时候有车开了过来它就立马调头往回跑，结果就被创到跳街舞了,糍耙团子航owO,2级评论,6,108,2025-03-29 06:48:49
琴司彼梦,保密,狗的智力可比猫高太多了，就我自己现实生活中好几次看到的狗子等红绿灯过斑马线，有时候我也在想是不是单纯跟着其他人过马路，但有人闯红灯它也没跟啊,,1级评论,6,576,2025-03-26 01:32:30
姜逸之,男,狗真的能认红绿灯[辣眼睛],琴司彼梦,2级评论,6,45,2025-03-26 12:31:40
荠菜猪肉馄饨,男,狗会看车的，老狗不进会看车，还会看人流,琴司彼梦,2级评论,6,155,2025-03-26 10:49:20
标准公民,女,狗，特别是土狗基本清楚汽车是什么东西，所以会远离，猫的智商分不清那是什么只会原地炸毛哈气，当然还是有聪明猫的,,1级评论,5,514,2025-03-28 23:17:08
国风皮大胆,男,主要还是因为狗不拴绳容易伤人会被捕杀，所以街上基本没有不拴绳的狗乱跑,标准公民,2级评论,6,35,2025-03-29 00:02:15
喜欢温暖的蛐蛐,男,聪明猫都不会靠近马路[嗑瓜子],标准公民,2级评论,5,40,2025-03-29 01:28:53
撅腚的鸭子u,保密,猫是真的蠢  我骑个摩托才30码  突然串出来自杀式袭击我的前轮  还好我一把把把把住了  跟压到砖头一样,,1级评论,5,488,2025-03-27 12:39:33
思い馳せる,保密,让老外分析一下这4个把，估计要炸了,撅腚的鸭子u,2级评论,6,62,2025-03-29 18:25:02
栖鹭瓜栗,保密,我在高速上跑120被鱼雷击中过右舷，大晚上就看见一个三花色的残影窜出来，咚的一声撞上，当场就闻见一股糊味，下高速检查发现是撞在排气头段了，排气管瘪了一块，然后有一些生物组织粘在排气上都烤干了，那就是糊味的源头,撅腚的鸭子u,2级评论,6,36,2025-04-01 19:29:21
李三思u,男,"路面坑坑洼洼，小猫填填补补。
快说谢谢哈基米",,1级评论,5,452,2025-03-28 11:50:47
微纪元的宏电子,保密,太地狱了,李三思u,2级评论,5,12,2025-03-31 12:59:02
咖喱鸡肉味薯角,男,[冷],李三思u,2级评论,6,6,2025-04-02 10:43:47
巴哈姆特0式,男,中环最不缺的就是猫饼，而且多数都是固定位置刷新[笑哭]，以至于我到那些地方会减速[doge],,1级评论,6,397,2025-03-23 12:28:47
卡哆卡哇手电筒,保密,外环也不少[笑哭],巴哈姆特0式,2级评论,6,21,2025-03-24 16:57:19
Fallchirmjager,保密,中环外环都不少[笑哭],巴哈姆特0式,2级评论,5,12,2025-03-25 18:29:16
阳台农业之王,保密,我猫狗都养以后，我后悔为啥要养猫，在互动和陪伴情感互动上，狗甩了猫几个街区,,1级评论,5,412,2025-03-28 08:35:30
风在飞云在追,保密,养猫比养狗简单，很多比较懒的人懒的遛狗啥的，所以养猫的多,阳台农业之王,2级评论,5,74,2025-03-29 05:52:04
点我没惊喜,男,你只是适合那那种互动性高，粘人，需要更多时间精力陪伴的宠物罢了，我多数时候都是做自己的事，要像狗那种粘法真会觉得很烦，它可以在我闲着的时候偶尔蹭蹭我，要是一天天没屁事，就黏着我硬蹭，我只想给它踹远点[doge],阳台农业之王,2级评论,5,41,2025-03-28 12:22:36
助人为乐陈博士,保密,村里的狗过国道都懂左右看车，比人还讲规矩[doge],,1级评论,6,101,2025-03-25 17:19:26
bili_39475621698,保密,习性问题，狗遇到车下意识会躲会回头，猫看到车下意识是跑往前冲。,,1级评论,4,382,2025-03-25 02:36:49
已经是取名废了,男,回复 @灬卡秋莎丶 :这种时候还是以自己的安全为重，多张猫饼就多张猫饼吧[笑哭],bili_39475621698,2级评论,6,54,2025-03-25 19:58:04
唐诗三百首r,男,真的是，狗要么停下等你过去要么回头跑到马路边上，猫就不一样了它跟你比速度硬是往你轮胎撞,bili_39475621698,2级评论,6,86,2025-03-25 18:42:32
久夜の杯子,保密,养了几年猫。发现猫是真的傻。很讨厌不服管。也就长得可爱容易养这么一点优点。。,,1级评论,6,104,2025-03-27 06:35:50
点我没惊喜,男,分猫，我家猫小时候像个傻子，但现在认得我家人，也知道家在哪，有时候我出门还会跟我走，然后被我抱回去，它见到陌生人跑可快了，都不担心它丢[doge],久夜の杯子,2级评论,5,21,2025-03-28 12:15:14
奈子爱抱橘,男,回复 @点我没惊喜 :我的也是，后来被窝训了，我是真怕他跑别人家被小孩弄死啊。现在的小孩子很喜欢虐猫啊兔子之类的,久夜の杯子,2级评论,5,0,2025-03-29 16:16:32
风筝飞走了丶,男,昨天上班路上，看见一只狗准备过马路，当时他不在斑马线上面，然后它思考了两秒，去斑马线然后走斑马线走到了对面车道去了[doge]我昨天等红灯看见的,,1级评论,6,339,2025-03-25 12:32:01
辣味丘丘人,保密,比人还受规矩[笑哭],风筝飞走了丶,2级评论,5,52,2025-03-25 20:16:56
大白很好吃,保密,我确信有的狗是会看红绿灯的。有一次晚上路口没车没人，我在路口看到一只狗红灯停在路边，绿灯才开始走，除了红绿灯根本没有车流和人流能判断。,风筝飞走了丶,2级评论,3,14,2025-03-29 20:20:39
汤姆约翰中药店,保密,报告！本人于今年春节期间回老家在高速上见到了十一只🐔饼，三只🦆饼，一只🐱饼，还有一袋子山东煎饼[呲牙],,1级评论,4,86,2025-03-28 23:20:51
大杯珍珠奶猹,保密,🐔真的蠢得要死，看到车反而是加速重过去，老是以为自己能比车快,汤姆约翰中药店,2级评论,6,7,2025-03-30 03:24:02
汤姆约翰中药店,保密,回复 @大杯珍珠奶猹 :也有可能是过年回老家，带几只鸡，然后路上掉了[doge],汤姆约翰中药店,2级评论,4,4,2025-03-30 11:17:18
鸟神道人,女,前年送外卖一晚上差点撞了三只猫[笑哭]，摔了两次，然后前年底那个小区的猫就被人下药了，虽然我不支持这种做法，但是[doge],,1级评论,6,462,2025-03-24 00:41:37
耄耋凯露,男,别为了躲猫狗把手刹捏死[笑哭]以前差点栽到绿化带里面，回家还被骂了,鸟神道人,2级评论,6,59,2025-03-25 18:34:15
寒寒子要做人,保密,摔了两次都没起杀心，这是真的心善啊,鸟神道人,2级评论,5,155,2025-03-25 12:49:44
半夏捡垃圾,男,没事，根据达尔文进化论，能在车下存活的猫会越来越多的。[doge][doge][doge],,1级评论,6,76,2025-03-26 12:22:43
GG-glico,女,猫的反应是车的七倍,半夏捡垃圾,2级评论,6,15,2025-03-26 15:35:42
寇士津,男,[喜极而泣]等不来的，等下变成保护动物了,半夏捡垃圾,2级评论,6,2,2025-03-27 23:52:43
-_-Hatsune-Miku0,男,经常跑国道的应该见的挺多的，我路上见过最多的是鸟饼，然后就是猫饼，狗就见过没几次，还有鸡饼，甚至有时候还有猫饼半成品。撞过鸟，开车的时候撞过，骑摩托的时候也撞过，骑摩托的时候还撞过鸟屎。蛇饼最不常见，刺猬饼也挺稀少的，对了还见过一次人饼半成品（23年11月，山西山路，大卡车追尾大卡车，人直接成饼了，后续不知道，我急着赶路）,,1级评论,6,398,2025-03-26 03:43:18
凤栖之木曰梧桐,保密,后续应该是投胎了,-_-Hatsune-Miku0,2级评论,6,24,2025-03-26 07:26:49
蓝触,男,猫饼和薯片是最常见的[笑哭]天一热搁老远就能闻到臭味，环卫工扣都扣不下来,-_-Hatsune-Miku0,2级评论,6,21,2025-03-26 08:01:46
阁下何不随风起9011,保密,狗也有被撞死的，只不过比较少而已,,1级评论,6,72,2025-03-26 12:11:15
那菈花花花,男,狗体型大 撞死了是飞出去 不容易成饼 猫基本都是被碾过去了成了饼,阁下何不随风起9011,2级评论,6,40,2025-03-26 20:02:39
だだだららら,保密,人都有被撞死的更何况狗,阁下何不随风起9011,2级评论,5,17,2025-03-27 09:09:53
兰兰柠檬,男,"路中哈气猫
刹车声碎秋风中
遍地枫叶红",,1级评论,5,295,2025-03-27 11:06:19
花镜旧声,保密,最哈气,兰兰柠檬,2级评论,6,17,2025-03-27 11:13:36
墨鱼君a,男,最诗意,兰兰柠檬,2级评论,5,13,2025-03-27 20:33:19
76小子,保密,去年有天晚上骑电瓶车，突然窜出来一只猫，我往哪拐它往哪跑，吓得我赶紧刹车，就差一点点压倒，你们猜猫猫什么反应，直接开棘背龙形态给了我轮胎几爪子同时哈了几口气，马上飞似的跑了，给我气笑了。还有我家那个逆子，没事就想越狱，一出来吓成孙子，老往路边车底下钻,,1级评论,6,66,2025-03-25 21:21:07
一不小心被关进雷封塔,男,鼠饼，猫饼，蛇饼，蛙饼我都看到过[笑哭],,1级评论,6,257,2025-03-25 19:28:51
宝石星河,保密,鸡饼鸟饼,一不小心被关进雷封塔,2级评论,6,20,2025-03-26 01:45:03
MOSS--550W,保密,回复 @宝石星河 :小朋友，这是你家的鸡吗？不是不是，我家鸡没这么扁[时空穿越表情包_啊？],一不小心被关进雷封塔,2级评论,6,3,2025-03-27 01:15:02
梦可寶,保密,狗大部分收到惊吓会选择最优路线，起码是它思考后的最优路线。但是猫应激是本能的四处乱窜,,1级评论,5,68,2025-03-28 14:21:04
Tommy2220,保密,猫喜欢往车轱辘底下钻，我有个老师开车车一启动就撵上猫了，猫疼跳的像条鱼，之后这个无辜的老师被班里的仙女骂了好久,,1级评论,4,303,2025-03-26 14:40:45
Tommy2220,保密,回复 @八戒爱医师 :一到春天天气暖和，晚上猫就开始叫，像小孩哭一样，声音恐怖的很,Tommy2220,2级评论,4,27,2025-03-28 22:32:51
爱翻花绳的小莹,男,没办法，动物的天性,Tommy2220,2级评论,5,1,2025-03-28 23:51:28
天才白,保密,"狗甚至会等红灯走斑马线
之前看过视频，一个人不走斑马线闯红灯被撞了，最搞笑的是这时候来了一条狗，它等红灯变绿了，走了斑马线，太讽刺了，狗过马路都等红灯走斑马线",,1级评论,3,54,2025-03-28 06:19:23
天才白,保密,不过我挺好奇的，狗是色盲，为什么它会等到绿灯才走的,天才白,2级评论,3,1,2025-03-28 06:20:58
珞北you,女,回复 @天才白 :虽然狗的眼睛中黑白灰颜色的深浅不一样，,天才白,2级评论,6,10,2025-03-28 08:54:25
兔川_c3,保密,野猫和蟑螂一样,,1级评论,6,302,2025-03-25 21:17:54
晚睡早起死的早_,保密,错误的，蟑螂的破坏力更小,兔川_c3,2级评论,6,141,2025-03-26 10:48:24
一个帧蒸的man,保密,跟老鼠也差不多，只是猫长相讨好某些群体,兔川_c3,2级评论,6,40,2025-03-26 00:39:48
电锯不锯人,保密,"面对迎面驶来的大货车，哈基米的选择是……

战斗到死！[doge_金箍]",,1级评论,4,47,2025-03-31 08:23:06
EVELINE127,保密,圆头老吴究极棘背龙形态开！,电锯不锯人,2级评论,5,3,2025-04-01 23:56:27
小人沈河,男,哈！,电锯不锯人,2级评论,6,3,2025-03-31 12:12:09
bili_2089570406,保密,因为小猫会试图与车搏斗,,1级评论,3,236,2025-03-28 16:06:40
超超超吉利,男,是脊背龙形态,bili_2089570406,2级评论,6,17,2025-03-31 17:44:30
是个值6枚硬币的昵称,男,我只能战死,bili_2089570406,2级评论,6,6,2025-04-02 19:54:10
若要动手_大败而归,保密,过年回老家，乡里的狗都乖乖靠边走，两辆车会车的时候狗子还会排队等，回了城就看到小区里的哈基米面对我这大灯大喇叭的钢铁兽一味哈气[笑哭][笑哭],,1级评论,6,35,2025-03-29 16:54:32
啊哦咦啊哦咦,保密,为啥我去的地方村狗都很剑不让车在路上慢慢走,若要动手_大败而归,2级评论,5,0,2025-04-02 06:24:03
红石114514,男,[藏狐],若要动手_大败而归,2级评论,6,0,2025-04-01 16:38:21
蒜泥蒜泥呼叫香油,男,猫还有特别不好的习惯，他会观察来往的车，但不会避让，而是跟接近的车辆比速度，试图用更快的速度过马路,,1级评论,6,214,2025-03-28 07:36:07
QAQ9516,男,你说的是猫还是我们这邻居老头老太太,蒜泥蒜泥呼叫香油,2级评论,6,187,2025-03-29 21:16:47
bili_24531976320,保密,回复 @QAQ9516 :猫脸老太太,蒜泥蒜泥呼叫香油,2级评论,5,20,2025-03-30 21:15:00
为吾王续一发,保密,我觉得把猫代狩猎者，车代入猎物这个角色就会理解为什么猫饼会这么多，猫看到车冲过来于是拦在车前吓唬车，它以为车会像猎物一样看到它马上刹住并转向逃跑，然后它再冲上去追赶猎物，谁知道这车不讲武德，看到了炸毛横在车前面的猫，非但不转向逃跑，反而直接冲过来了，于是猫饼就诞生了[doge],,1级评论,5,40,2025-03-28 21:49:57
绛色鼗鼓,男,猫不至于蠢到去猎杀比自己大不知道多少倍的猎物吧,为吾王续一发,2级评论,4,11,2025-03-30 12:07:46
被丢下的天翼种,保密,回复 @绛色鼗鼓 :未必，猫可能不敢猎杀，可哈气可是谁都敢，见过对老虎哈气的，b站就有视频，但车又看不见，就压过去了,为吾王续一发,2级评论,6,1,2025-03-31 15:58:52
维生素BOSS,保密,狗看到车会回头躲避，猫看到车一根筋之后直线冲刺,,1级评论,6,202,2025-03-26 07:09:35
煜煜的头号黑粉,男,是的 我开车看到好多次小猫伸着头冲刺过马路，根本不看车,维生素BOSS,2级评论,6,25,2025-03-26 07:16:52
肥嫩的大白菜,男,因为猫的速度是车的7倍[doge],维生素BOSS,2级评论,6,22,2025-03-26 09:22:24
账号已注销,保密,猫的大部分行为都是靠本能，其实猫科动物都是那样他们的智商还不如鸡。,,1级评论,0,39,2025-03-26 02:21:42
账号已注销,保密,回复 @AI_Astro :你小瞧鸡了，鸡很容易通过陷阱测试，猫不行。,账号已注销,2级评论,0,16,2025-03-26 17:06:18
凛冰lucy,保密,回复 @AI_Astro :有可能不如乌鸦，不会不如鸡,账号已注销,2级评论,5,10,2025-03-26 13:12:20
8Cr13MoV,保密,猫真是神经病，遇到两次了，骑摩托在路上跑猫会往车轮前面钻，遇见车不是远离而是快速接近，你不动它也不动，非得距离近了疯狂向马路中间跑，被碾死真是一点也不亏，纯纯自然选择,,1级评论,6,215,2025-03-26 02:23:59
Ropz_Official,保密,看到车往车底钻，或者车来了站着不动，纯低能,8Cr13MoV,2级评论,6,25,2025-03-26 16:57:43
寂寞蓝魔-,男,如果你有过走路遇见猫的经历就会发现，它对车的反应跟对人的反应一模一样[笑哭]纯纯没脑子的玩意，全靠本能,8Cr13MoV,2级评论,6,42,2025-03-27 02:11:42
金色闪光灯,男,狗大啊，一下压不成饼的，会走开然后死在别的地方应该,,1级评论,6,38,2025-03-25 20:25:45
被塔菲玩弄鼓胀,保密,猫也一下压不成饼啊，都是死路上了来来回回的压,金色闪光灯,2级评论,5,18,2025-03-26 23:17:17
双层防烫开水壶,保密,"所以我给我的猫取名叫猫饼。
意思是贱名好养活。",,1级评论,6,169,2025-03-25 13:50:03
你滴小哈哈-TFW,男,养了两只布偶 ，一只叫大傻另一只叫小傻,双层防烫开水壶,2级评论,5,14,2025-03-25 17:50:14
509696852,男,你有猫饼啊😦,双层防烫开水壶,2级评论,6,28,2025-03-26 11:41:28
端到端OTA精准打击用户,保密,一句话总结[doge]猫猫算力不够,,1级评论,6,29,2025-03-24 13:10:31
独立天座,保密,平均半个月多我就能在上下班的路上看到个猫饼，讲真时不时来几下，环卫也是糟心,,1级评论,6,157,2025-03-24 23:13:38
知知陈农场,男,讲真冬天跑高速，基本几百米就一个。,独立天座,2级评论,6,13,2025-03-26 08:24:35
坏坏的羽辰,男,我平均两天就能看见一个[吃瓜],独立天座,2级评论,6,12,2025-03-25 17:28:49
蚂蚁不花,男,猫是真傻。。。有次开夜路。它在旁边车道。然后往我车轱辘底下钻[辣眼睛]，八成是没了,,1级评论,6,33,2025-03-25 15:14:40
这年轻人真好,男,+1我去年开夜路时候突然出现橘猫撞我的车轮，听到咕咚一声[藏狐]，一直继续走，大概率压没了,蚂蚁不花,2级评论,6,8,2025-03-25 21:40:42
啥也发不了真有你的,保密,习性使然  受到惊吓就爱往暗处钻,蚂蚁不花,2级评论,6,1,2025-03-30 22:23:07
囝糙233,男,二十多年见过鸟饼、鼠饼、猫饼、鸡饼、蛇饼、黄鼠狼饼、刺猬饼。还真没有见到过狗饼，以我的经历来说狗饼确实少见。,,1级评论,6,156,2025-03-29 12:43:18
传闻中的M1ku酱,男,我觉得狗稍微大一点也很难成饼，估计直接撞飞了,囝糙233,2级评论,6,22,2025-04-01 14:40:34
哒哒哒的克苏恩,男,不过经常看到街上店老板养的狗乱跑被压到腿的,囝糙233,2级评论,6,1,2025-04-02 01:50:28
霜天银狐,保密,我就见过不少猫猫压扁车车的案例...不信你看[doge],,1级评论,6,28,2025-03-28 22:40:30
盖姆斯塔,保密,666,霜天银狐,2级评论,4,1,2025-03-29 14:39:32
爱动单车,保密,曾经骑自行车压过一只活猫[无语],,1级评论,5,133,2025-03-21 15:57:08
不回山本除非忍不住,保密,想看[doge]可惜国内所有事故视频全都打码,爱动单车,2级评论,2,11,2025-03-25 12:24:12
射命丸-文,男,回复 @送you一程 :红外导弹哈哈哈哈哈哈哈哈哈太贴切了,爱动单车,2级评论,6,2,2025-03-26 20:57:35
难授捏,男,哈基米笑传之惨成饼,,1级评论,4,32,2025-03-29 20:47:04
讲武德的马保国,男,ccb领域大神,难授捏,2级评论,5,3,2025-03-30 13:28:45
爱吃白菜和fa音,保密,不是创成饼？[笑哭],难授捏,2级评论,5,7,2025-03-30 17:05:57
两盏清茶饮一杯,女,以我骑行的观察来看，最多的还是鸟，再就是老鼠。,,1级评论,6,110,2025-03-26 17:31:42
失眠叫兽,男,嗯。前两年还看了一篇论文，就是说车道两旁，鸟类不去繁衍，而导致近亲繁殖，或者区域性灭绝。大致意思就是说，鸟类在公路死亡率过高，鸟就将马路另一边视为死亡禁区，而不再靠近。鸟类的生活区域就以马路划分而分开，像中间隔了一个海一般。,两盏清茶饮一杯,2级评论,6,53,2025-03-28 21:01:22
失眠叫兽,男,除了鸟，还有野生动物。不过这也没办法。只能看动物自己适应。人类也一样惨。四次工业革命，蒸汽、电气、信息化、智能化。淘汰了一批又一批人。很多人，还生活在农业时代，比如说工厂打螺丝，看似活在第四次工业革命中，都是从事体力劳动，和农业时代也没区别。人都在被淘汰，更别说动物了。,两盏清茶饮一杯,2级评论,6,21,2025-03-28 21:07:49
万华金龙夺,保密,猫饼 狗饼 兔饼 鼬饼 蛇饼 鸟饼 刺猬饼 都见过,,1级评论,6,27,2025-03-29 19:23:11
惨白烈日,保密,我曾经见过一张车祸的图片，就是那种百吨王的，有个人身体的脑袋完全变形，被硬生生的挤进百吨王两个后轮中间的夹缝里，头骨四肢什么的全部都变形，别说眼珠子爆出来，连牙齿和舌头都爆出来了,万华金龙夺,2级评论,5,5,2025-03-30 01:40:33
搜索百里,保密,还有鸡饼,万华金龙夺,2级评论,4,4,2025-03-30 11:05:45
sagacee,保密,"面对迎面而来的半挂
哈基米决定————
————战斗到死！",,1级评论,5,27,2025-03-31 19:52:29
YYHWULA2,保密,这是装了咖喱的塑料袋吧[喜极而泣],sagacee,2级评论,3,11,2025-03-31 21:26:42
什马名纸,男,塑料袋吧这个,sagacee,2级评论,6,1,2025-04-01 10:37:43
流萤酱流萤水,保密,猫饼明明是流浪猫的数量大于流浪狗的数量的，只要你在南方附近有个大学城，今天能见到一只流浪猫，没几年就会出现一群猫，因为养这畜牲的大畜牲没给牠绝育就遗弃了,,1级评论,5,144,2025-03-24 07:56:03
凛冰lucy,保密,流浪狗政府会管，而且比猫好抓多了,流萤酱流萤水,2级评论,5,33,2025-03-26 13:13:53
誰為吾停留,保密,猫比狗蠢也是事实,流萤酱流萤水,2级评论,5,28,2025-03-26 14:03:26
一游园惊魂一,男,猫不知道为什么总是“阴暗的路过”，生怕被人发现，所以被人发现的时候基本都在轮子前了,,1级评论,6,116,2025-03-27 09:49:26
Zizekr,男,猫在自然界的生态位并不高，而且没有群居习性，习惯了独自一只猫阴暗地生活，像狗，狼这种都会群居，还会高调地用尿液标记领地,一游园惊魂一,2级评论,6,38,2025-03-27 09:54:58
读者1988,保密,独居生物都这样。人如果独居久了，也是这样的。,一游园惊魂一,2级评论,5,0,2025-04-07 18:57:18
大切子狸狸里,保密,我看到过猫饼，刺猬饼，狗饼，甚至乌鸦饼。不过猫最多，其次就是狗,,1级评论,5,25,2025-03-26 01:52:47
暗夜弒光,保密,鼠饼最多，其次就猫饼，狗几乎没见过，坐标广州,大切子狸狸里,2级评论,6,2,2025-03-26 02:10:45
前辈很可爱哟,女,我这儿蟾蜍饼是最多的，狗基本没有，猫的话也少。,大切子狸狸里,2级评论,6,1,2025-03-26 11:03:53
如月千早1,男,猫的bug很多，听过猫会应激，没听过狗应激的，面对高速的汽车，猫在那一刻脑子短路了，本能的往左或者往右，然后被撞死碾成猫饼，就像一些女司机踩错了刹车，眼睛看到危险导致大脑应激，然后脑子短路失去思考，忘了脚还在油门上死劲踩着，甚至肌肉绷紧踩的更用力了，更多危险刺激大脑，大脑进一步应激，陷入恶性循环，直到车子撞上墙或树，相比之下狗比猫的脑容量大很多，能理解很多事物，应激bug也被修复了,,1级评论,6,185,2025-03-25 12:29:41
沧月墨痕,保密,应激的狗其实也有，我老家附近的一个大叔的狗就是，大年三十被鞭炮声吓到了，再也没回来了。街溜子德牧[笑哭],如月千早1,2级评论,6,20,2025-03-25 18:20:04
合欢宗首席传功长老,保密,狗子打不过就认怂，猫打不过就投胎,如月千早1,2级评论,6,13,2025-03-25 16:33:24
Baipiao小猫咪,保密,主要是狗饼太大了，撞死就丢路边了[笑哭],,1级评论,4,26,2025-03-28 17:09:00
