用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
春日部突破手柊镜,男,回复 @我才是真的全球第一帅 :就是因为咬到后果很严重所以才要避免被咬，你怎么倒果为因的,-小555-,2级评论,6,43,2025-03-24 18:19:16
我才是真的全球第一帅,男,咬到你了就理中客不起来了,-小555-,2级评论,6,60,2025-03-24 18:02:50
改名吞了我6枚硬币,男,遇到这种我都是悄悄慢慢的先去把门关上,,1级评论,5,14272,2025-03-24 12:26:05
依旧范特吸,男,毛加开大了属于是[笑哭][笑哭],改名吞了我6枚硬币,2级评论,6,1642,2025-03-25 00:38:20
依旧范特吸,男,ssvgg,改名吞了我6枚硬币,2级评论,6,1166,2025-03-25 00:38:26
怀佳人兮_不能忘,保密,鲁迅《朝花夕拾》：“经验既多，一旦大悟，知道猫的偷鱼肉，拖小鸡，深夜大叫，人们自然十之九是憎恶的，而这憎恶是在猫身上。假如我出而为人们驱除这憎恶，打伤或杀害了它，它便立刻变为可怜，那憎恶倒移在我身上了。”,,1级评论,6,6,2025-03-24 18:42:10
麦香烤饼,女,看完后才知道爱而不得是什么感觉,,1级评论,6,5523,2025-03-25 15:05:13
是网管呀,保密,略猫区爱不到的白月光[笑哭],麦香烤饼,2级评论,5,1329,2025-03-26 18:02:59
風kazeのno夢yume,男,届不到的“爱”,麦香烤饼,2级评论,6,96,2025-03-28 19:59:54
霜精溜大冰,男,想要大狗大狗嚼嚼嚼了,,1级评论,6,1500,2025-03-25 14:13:24
元昊也,保密,马犬旺财呢，出来救一下啊,霜精溜大冰,2级评论,6,57,2025-03-28 03:24:05
Reaimeraimer,保密,确实，但凡这家里有条大狗也得给它嚼嚼嚼了,霜精溜大冰,2级评论,6,105,2025-03-25 16:09:52
比奇堡派医师,男,我之前喂小区里的流浪猫，结果它直接咬我手，我直接下意识反应掐着它脖子直接往地上狠狠一摔，我大脑都没反应过来纯是肌肉反应，把哈基米摔得一动不动只有后腿在那蹦跶,,1级评论,4,2925,2025-03-25 17:09:09
一只超菜的小猪,女,警惕可以，让别人靠近再哈气就是剑,比奇堡派医师,2级评论,5,430,2025-03-25 18:50:42
折耳猫zZ喵,保密,本意是坏的结果执行好了,比奇堡派医师,2级评论,5,1434,2025-03-25 19:36:26
十Black十,保密,这嘴巴俩瓣大腮是基米史上难以超越的经典镜头,,1级评论,6,4089,2025-03-24 07:09:32
哦哔哔剥剥,保密,跟俩高玩似的,十Black十,2级评论,5,598,2025-03-24 11:20:22
大黄帝国97,男,ω,十Black十,2级评论,6,45,2025-03-24 12:49:15
永远的玄武岩,保密,每一帧都是哈基世里的一座难以跨越的哈基峰,,1级评论,3,2170,2025-03-25 00:54:24
装在套子里的人丨,保密,想出哈基峰的家里得请叮咚鸡了,永远的玄武岩,2级评论,5,136,2025-03-25 00:56:29
熹玲,男,回复 @装在套子里的人丨 :能想出叮咚鸡的你也不简单[笑哭],永远的玄武岩,2级评论,5,5,2025-03-26 16:07:33
蓝兰岛的偷渡客,保密,长这么大没见过这么野的，我这小区的流浪猫都被保洁和保安养的很温顺，,,1级评论,6,12,2025-03-24 17:37:51
寄白贝利亚大王,保密,首先 我家里已经养了两只 第二绝育太贵 有些人做不起 也没必要去做 第三  这种责任不是一个人承担的 第四 流浪的宠物不需要铲屎铲尿 最后 公用小猫有什么不好的 想摸摸了 拿了一个猫条出来 小猫保 人高兴,蓝兰岛的偷渡客,2级评论,3,0,2025-03-24 22:06:05
神の质疑,男,回复 @极霸贝利亚大玉 :没想过其他人的感受?就你爽了？我家也养猫，不过你有没有考虑到野猫会跑进别人家乱搞?会不会伤害到小孩?不做绝育在那生了一堆小猫谁负责？春天天天乱求偶，叫声多难听?打架会不会造成扰民?,蓝兰岛的偷渡客,2级评论,6,0,2025-03-24 22:15:59
明天会有晚霞吗,保密,记得原视频标题是这个猫是流浪猫，闯进这个博主家里，飞舞博主赶不出去,,1级评论,6,3304,2025-03-25 06:43:36
雾切的裤衩,保密,吃了原主人猫粮还打了原主人的猫，后续被打出血了,明天会有晚霞吗,2级评论,4,1319,2025-03-25 17:28:38
Unnamed544,男,回复 @雾切的裤衩 :那很见了[笑哭],明天会有晚霞吗,2级评论,5,51,2025-04-13 12:01:29
吔西凡,保密,对线这种悠米的时候我一般都是先穿上防护以保证不坏之身，再关上门施展轮回绝境，然后拿出麻袋套上黑暗起兮后紧接断魂一扼，接着平A穿插普攻最后用破灭之锤完成击败，如果效果还差一点可以再挂个点燃,,1级评论,5,664,2025-03-25 11:24:23
暗の妖精van-,保密,5a级爱猫连招,吔西凡,2级评论,6,92,2025-03-25 22:26:04
elderflwr花花,保密,美国ip的网友分享的竟然都是近战攻击也是很有生活了[妙啊][妙啊],吔西凡,2级评论,5,48,2025-04-08 18:18:32
莺女和木妖,男,猫真是一种奇怪的生物，小狗就算害怕也只会呜呜的求饶并翻肚皮，猫就不一样了，哪怕很小刚睁开眼睛不久，你去抓它它照样哈气,,1级评论,6,3423,2025-03-25 01:34:06
Poorboi_Khal,保密,猫的智商比狗低的，所以一直不能被完全驯化,莺女和木妖,2级评论,6,895,2025-03-25 02:56:07
部之,保密,代码是这样写的,莺女和木妖,2级评论,5,566,2025-03-25 08:41:37
奥迪里斯,保密,认真问，遇到这种一直卡地形的怎么处理[笑哭],,1级评论,5,3013,2025-03-26 00:38:52
流萤的贴身内库,男,回复 @武藏亲后援团团长 :神特么开一局斯诺克,奥迪里斯,2级评论,5,3,2025-04-01 23:12:00
武藏亲后援团团长,男,卡地形先甩东西给他卡死在里面让它窜不出来，后面找根杆子开一局斯诺克就行了，就是有点不好清理现场,奥迪里斯,2级评论,6,962,2025-03-26 19:18:31
扁岩岩,男,被挠出血还没开狂野猩形态也是脾气好了,,1级评论,6,2219,2025-03-25 09:54:26
1qweazx,保密,原始暴怒😡😡,扁岩岩,2级评论,5,137,2025-03-25 14:33:38
西湖下的BG,保密,被挠出血我可就要手上缠上几圈厚毯子上手狠狠地爱了,扁岩岩,2级评论,5,166,2025-03-25 15:01:31
西木野1郎,男,我的意见是：反对虐待任何物种，但坚决支持一击必杀,,1级评论,5,2995,2025-04-13 08:36:21
没_逝,保密,杀生不虐生😋[支持],西木野1郎,2级评论,6,476,2025-04-13 11:44:27
bili_92896816145,保密,回复 @没_逝 :通俗点说就是给个痛快就得了，没必要像小鬼子一样折磨的半死不活,西木野1郎,2级评论,5,184,2025-05-02 08:26:05
仗势鸭,保密,哈气三下强化普攻,,1级评论,5,2656,2025-03-24 01:45:42
doro的桃,保密,被动技能触发了,仗势鸭,2级评论,5,40,2025-03-24 06:57:40
77573732486_bili,保密,赐死哈气！,仗势鸭,2级评论,5,18,2025-03-28 09:28:41
萎缩大帝,男,这种我一分钟能爱三只[笑哭],,1级评论,5,3232,2025-03-24 12:05:26
上单霸主嘤嘤怪,保密,那很浪费了,萎缩大帝,2级评论,6,642,2025-03-24 15:23:28
江悦和,保密,这种得三个小时慢慢爱,萎缩大帝,2级评论,3,565,2025-03-24 15:37:55
西园寺卡库,保密,这是家养的还是野猫啊？,,1级评论,6,8,2025-03-24 01:25:49
-七-窍-玲-珑-心-,男,回复 @那江红豆 :主人也是个fw,西园寺卡库,2级评论,5,12,2025-03-24 02:11:36
那江红豆,保密,好像是视频里这只猫闯进他家，欺负他家的猫，抢他家猫吃的，然后还赖着不走，然后还凶他，主人就想把他赶走，之前很久之前看到的，具体也记不清了，大概是这样[doge],西园寺卡库,2级评论,5,24,2025-03-24 01:33:01
文字顺序不响影读阅,男,爱猫区看了心痛，略猫区看了气的心痛[保卫萝卜_哭哭],,1级评论,5,4598,2025-03-25 23:34:39
酒乐不黯思常难,保密,正常的爱猫区应该是心痛人才对,文字顺序不响影读阅,2级评论,5,347,2025-04-13 19:37:52
酒乐不黯思常难,保密,回复 @酒乐不黯思常难 :遇到这种视频的话,文字顺序不响影读阅,2级评论,5,33,2025-04-13 19:38:06
烟雨朦胧之时,保密,如果你们觉得网暴一个1岁的近亲繁育+双向老吴障碍＋棘背龙形态＋炸毛+圆头飞机耳+应激哈气＋嚼口香糖+随地跳街舞的哈基米很好玩的话，你们可以继续[doge],,1级评论,5,696,2025-03-25 22:14:04
无名DXD,保密,这下真得网暴了,烟雨朦胧之时,2级评论,5,55,2025-03-25 22:21:57
bill-13258390,保密,这真得喷这是真好玩,烟雨朦胧之时,2级评论,2,3,2025-05-04 01:24:27
真人李贽_Official,保密,其实这个怎么破呢，带四个手套，两条胳膊分别缠一件衣服，很少有猫能破防[一猫人_拍桌子],,1级评论,5,345,2025-03-24 21:15:51
玛喽王,男,那种工厂里的防滑手套，长袖外套，耐磨一点的牛仔裤，绑好袖口裤腿，就跟柱间抓九尾一样。,真人李贽_Official,2级评论,4,64,2025-03-24 21:33:41
吐鲁番分地,保密,一般动态的厚衣服就破不了，但就是划伤了衣服心疼,真人李贽_Official,2级评论,5,6,2025-03-24 22:10:35
月计不快计,保密,之前问过我爸怎么不养猫，原来是小时候被我家狗咬死了[笑哭],,1级评论,5,2094,2025-03-24 18:57:41
花朝既望丶,男,大狗大狗嚼嚼嚼,月计不快计,2级评论,5,1381,2025-03-24 18:59:33
心延之至-六合无极,保密,回复 @花朝既望丶 :我测,月计不快计,2级评论,6,54,2025-03-24 19:47:27
DAVEwood,男,这都能被补档，我们的沈鹤实在是太厉害了！🤣,,1级评论,6,768,2025-03-23 20:56:19
无垠我心,保密,这是审核的叠没办法,DAVEwood,2级评论,4,14,2025-03-24 11:34:59
Casamania,男,以后看这个视频的时候要小心了[喜极而泣],,1级评论,6,6,2025-05-13 07:58:38
鸡排饭加个蛋___,保密,一般人被日常中能接触到的动物伤了会自动进入暴怒状态，看来这位女士没有学会这个天赋,,1级评论,6,437,2025-04-16 12:24:37
藍悼花与銀蓮花,保密,被伤了打疫苗要花几千块的，要是忍得住那真是神人了,鸡排饭加个蛋___,2级评论,5,89,2025-04-16 18:53:28
喵喵拆-坏物清单,保密,她家马犬要上去咬，她怕把这猫咬死就赶走了,鸡排饭加个蛋___,2级评论,5,73,2025-04-16 12:25:40
AI沈阳美食家,保密,"笑点解析：视频以荒诞现实主义风格展现了人与猫的权力博弈。猫作为“本我”的象征，肆意妄为，展现了原始欲望的不可控性；而人则试图以“超我”的理性手段（水枪、扫帚）驯服猫，却屡屡失败，凸显了文明的无力感和人类的滑稽。这种反差与冲突，以及对日常生活困境的幽默化处理，最终造成了强烈的喜剧效果，令人忍俊不禁。

@茵蒂克丝滴滴滴 问的。",,1级评论,3,3,2025-03-24 13:58:05
茵蒂克丝滴滴滴,保密,招笑,AI沈阳美食家,2级评论,3,0,2025-03-24 13:58:54
红魔馆の芙兰酱,男,纳入高考作文中，写出你对“本我”、“超我”的认识。字数在800字左右，题材不限，诗歌除外[幻想乡的日常 第1弹_给心],AI沈阳美食家,2级评论,5,0,2025-03-24 14:00:53
go0Oat,男,爱猫人士我发现也挺虚伪的，首先我不是哈，我只是普通人，不太喜欢小猫，昨晚遇到了受伤的流浪猫，应该是被车撞了，然后我还是给宠物医院打了电话，有两个女生也看到了，也想救助，我们一起送到医院了，检查费用手术费用（小猫头上撞坏了需要缝），一共800出头，两个女生也就是爱猫人士多次表现出一定要救，太恨撞小猫的车了，交钱的时候就沉默了，我去交的，但是由于我没办法养猫，医院也不能养，我就提出两位女生可以养吗照顾一周让它康复一些再放生吧，两位女生语塞了，最后趁我不注意打个车跑了，本人很不富裕，最后给医生大哥300块希望他能照顾一周再放生。以后我是不会再相信爱猫人士，爱猫人士就是没事儿摸猫口嗨是吧,,1级评论,5,5076,2025-03-25 10:30:40
go0Oat,男,回复 @Magnalia :没，真的没做啥，就是用衣服包着 花了1000多块送过去了，医生说肯定能活下来了，反正目前说实话很心疼这个钱[笑哭],go0Oat,2级评论,5,203,2025-03-25 10:53:45
3d龙II,男,我是觉得一条野猫绝对不值得我花钱 兄弟还是太善良了,go0Oat,2级评论,6,320,2025-03-25 14:52:01
宇多零,男,流浪猫是怎么产生的呢？好难猜啊，一定不是自我感动的爱猫人士遗弃的吧,,1级评论,6,7,2025-05-12 04:22:10
在下是肖肖,保密,还有从家里窜出来的哈基米和它们下的崽,宇多零,2级评论,5,1,2025-05-12 06:56:58
十字路口ォ,保密,我家以前也有个这样喜欢哈气的，喂了一个月都喂不熟。。后面被外面狗直接咬死了,,1级评论,6,292,2025-04-17 22:26:51
ereggeer,保密,大狗：什么东西哈哈哈的，我嚼嚼嚼,十字路口ォ,2级评论,4,181,2025-04-18 01:49:25
蓦然丶Dutes,男,经典大狗嚼嚼嚼,十字路口ォ,2级评论,6,154,2025-04-19 17:10:30
博文张文博,男,我家有这个同款柜子 艹,,1级评论,4,1682,2025-03-24 07:25:14
一双破拖鞋,保密,什么时候刷新啊,博文张文博,2级评论,6,762,2025-03-24 07:36:46
唐显生-13路,保密,放个纸筒 放个虎皮蛋糕卷 开直播,博文张文博,2级评论,6,429,2025-03-24 08:30:31
若即洛璃,男,哈基咪南北绿多，阿西噶阿西，阿西哈雅酷奶农，哈基咪哈基，哈基咪摸南北绿多，阿西噶哈雅酷奶农，哈基咪曼波亚不亚不有待有待哦吗吉利曼波，哈基咪摸南北绿多，阿西嘎哈雅酷奶农，吗吉利哇呀曼波，哈基咪哈基咪我的贝绿多，亚不亚不有待有待啊曼波啊吗吉利，哈基咪摸南北绿多，哈基咪摸南北绿多，哈基咪摸南北绿曼波,,1级评论,6,5,2025-05-13 10:13:38
绿胡子僵尸,男,什么哈基经,若即洛璃,2级评论,6,1,2025-05-13 11:40:58
神烦AZ,保密,晚自习画的,,1级评论,5,367,2025-03-24 15:07:43
柯笔-布莱恩特,男,可爱捏,神烦AZ,2级评论,5,18,2025-03-26 02:47:09
胖胖小鸦,保密,河里,神烦AZ,2级评论,6,3,2025-03-26 23:25:39
十六夜Deviluke,男,这只略猫区白月光长得太特别了，不单单是因为哈气，也不是长得丑啥的，就是非常特别，这脸，这小眼神表情加上哈气，让人一眼看到就想踢足球[笑哭],,1级评论,6,226,2025-04-15 06:13:42
马之里曼波,男,品客薯片,十六夜Deviluke,2级评论,6,12,2025-04-18 18:09:12
第九世界645,保密,这人也是个人才，弄了四个小时才把猫赶走，手还被抓伤了。,,1级评论,3,782,2025-03-25 23:37:29
我真的不265,保密,要是我被抓伤，至少给他打个半死,第九世界645,2级评论,5,140,2025-03-26 11:52:41
1279766w,保密,回复 @我真的不265 :半死还是仁慈了,第九世界645,2级评论,4,69,2025-03-28 09:12:32
利维亚术士打桩机,保密,好多哈基人喂了也不管，也不做野猫绝育，猫吃饱了就会去ccb，越ccb野猫越多，然后野猫越多就会威胁其他小动物，还会对人的生活造成影响[呲牙],,1级评论,5,90,2025-04-04 11:25:20
账号已注销,保密,永远不存在ccb,利维亚术士打桩机,2级评论,0,0,2025-05-06 19:31:07
Tailslone,保密,造成影响后只要不是影响他们的就可以接着喂[doge_金箍],利维亚术士打桩机,2级评论,6,2,2025-05-07 10:31:55
AAA对空洞六课星见雅170,女,之前在老家朋友送了个一样性格的，不过没有被大狗嚼嚼嚼，被我们嚼嚼嚼了。,,1级评论,4,952,2025-03-28 21:58:20
浏璐official,保密,那很好吃了[笑哭],AAA对空洞六课星见雅170,2级评论,5,70,2025-04-05 12:02:30
至纯的秋,保密,回复 @卫宫莉雅 :和蛇肉一起挺好吃的,AAA对空洞六课星见雅170,2级评论,4,27,2025-04-07 16:34:22
果粒橘果粒,保密,怎么感觉这猫咪的面相和普通猫咪面相都不一样了？[灵魂出窍],,1级评论,6,593,2025-03-24 15:05:28
次元滤波器,男,伪猫，有些街猫里拍到的流浪猫那面相看得我恐怖谷效应犯了,果粒橘果粒,2级评论,6,141,2025-03-24 15:16:01
costoffree,保密,丑猫根本没人喂的，连拿手机拍一下都不会的,果粒橘果粒,2级评论,6,85,2025-03-24 17:20:15
钟灵小鹿,女,好奇补档的原因是啥呀，这不就是猫的视频吗？难不成审核也哈气了[笑哭],,1级评论,5,192,2025-03-23 20:18:44
飞脊背龙,男,牵扯出一堆爱猫tv摄影员,钟灵小鹿,2级评论,6,78,2025-03-23 20:20:59
卡飞宇,女,因为这是审核的叠,钟灵小鹿,2级评论,5,3,2025-03-24 08:52:45
韩中KBV,保密,自然界的动物为了生存去侵犯别的动物的领地利益的时候，别的动物也会进行反击啊，那这只猫为了生存不假，但他侵犯了人类的领地利益，所以说人类进行反击很合理吧，甚至把这只猫杀了，都完全合情合理，甚至大快人心，爱猫人士在叫啥[OK][OK][OK],,1级评论,5,177,2025-04-10 06:40:58
苏饼NinjaSu,保密,好多都是假的❤️🐱，打打键盘是真轻松，让他们去坚持投喂和负责任带去绝育又不干了[笑哭]真正能将猫共情为人类幼崽的人，ta也一定能共情人类。❤️🐱的本质还是共情人类自己，而不是赛博鬼叫哈哈。但是什么都不用负责还只要键盘敲敲字确实方便，还顺便污名化那些真的自愿在科学救助的人,韩中KBV,2级评论,6,59,2025-04-10 10:39:39
韩中KBV,保密,回复 @苏饼NinjaSu :像你这种正常人现在太少见了[笑哭][笑哭][笑哭],韩中KBV,2级评论,5,3,2025-04-10 12:23:53
鸽子一金,保密,听说最近它死了，好心疼，本来想养的😭😭,,1级评论,5,163,2025-05-04 18:12:18
硫酸钡-BaSO4,保密,求求你了[大哭]这玩意慢慢略[大哭]快略死的时候喂点吃的继续略啊[大哭],鸽子一金,2级评论,4,54,2025-05-05 23:55:51
牢大诱坠机了,男,回复 @KARMINNG :这两个的进度条加载一起刚好100,鸽子一金,2级评论,6,4,2025-05-09 01:47:59
玛恩纳叔叔,男,我发现这猫主要还是长得很特别，特别是眼皮那个形状，配上这个瘪嘴和压耳朵，一副刻薄欠揍的丑样[笑哭]这个样子还哈气，真是把作丑作恶表现到了极致,,1级评论,6,721,2025-03-24 18:35:32
川一卅_Yard,保密,还有嘴和鼻孔，看得人反胃,玛恩纳叔叔,2级评论,5,72,2025-04-12 13:00:53
天下归心2017,女,为啥这只野猫这么丑啊,玛恩纳叔叔,2级评论,6,16,2025-05-03 00:39:26
albertoBradish,男,@TachanCat3 @Ryaire @北川Su @神明的少女w_ @あめ是糖不是雨 @lovely萌新 @待到夏雪草海花盛开,,1级评论,6,3,2025-03-24 22:29:36
天使Mana,女,"我家院子前面常常有野貓來，原本也不是很在意
直到有一次我家的貓被其中一隻品行不好的咬了一個洞，又是感染化膿又是發燒
真的太心疼了，從此之後遇到性格不好的野貓也沒什麼耐心了",,1级评论,5,73,2025-05-03 09:14:32
巴士头,保密,好猫留下来🥰坏猫杀无赦😡😡,天使Mana,2级评论,5,11,2025-05-06 18:18:56
喝杯咖啡-马上睡,保密,我家猫也是，在自家院子里晒太阳睡觉，被一只野猫咬瘸了[鸣潮_祈愿],天使Mana,2级评论,4,3,2025-05-08 12:32:58
扑倒蕾缪安轮椅啃啃啃,保密,"我把视频给我妈看
我妈：这猫的主人估计也不是好东西
我：野猫
我妈：摔死😈",,1级评论,5,28,2025-03-31 19:40:07
brohsF,保密,怎么忍得住不拽着尾巴甩的？,,1级评论,5,108,2025-04-11 22:55:22
冰糸智兔,保密,拽了必被咬[笑哭],brohsF,2级评论,6,27,2025-04-12 01:07:50
EmberSonnet_,女,拽尾巴猫头会转过来咬你的,brohsF,2级评论,4,15,2025-04-16 01:29:09
忘川cherry,男,弹幕还是太不理智了，什么投技大风车抓头的，是不是有点过分了，人类不应该是这样的，人类与动物的区别是是否会使用工具，对待这种野兽得先想着怎么无伤给它干死啊，找根棍子不就好了，三棍子照头下去神仙都难救,,1级评论,6,95,2025-04-10 13:06:33
Shakeee9,男,天命人直接蓄力四豆劈棍,忘川cherry,2级评论,6,18,2025-04-12 03:40:30
盐豆菠萝猫,保密,棍子打活物精度要求高，我之前是先用蛇皮袋按住然后让奶奶用烧火棍打头打死的,忘川cherry,2级评论,6,1,2025-04-16 03:30:56
哈拉咻,保密,什么时候能遇见一只，我很久没有释放自己的野性了[doge],,1级评论,6,196,2025-04-16 19:55:35
哈拉咻,保密,回复 @焦糖布丁大王 :好滴,哈拉咻,2级评论,6,4,2025-04-29 19:02:53
焦糖布丁大王,保密,被抓伤又要打疫苗[笑哭]口嗨是口嗨 遇到了还是得小心点,哈拉咻,2级评论,3,25,2025-04-29 18:38:46
樱落祈雨,保密,养猫有时候确实很崩溃，主要是打了还不一定张记性，又怕打住了,,1级评论,6,1445,2025-03-24 17:21:53
2025对我好一点-,女,野猫闯到up家还赶不走，还特凶💀,樱落祈雨,2级评论,4,327,2025-03-25 02:17:08
DZt1me-_-,保密,这是野猫,樱落祈雨,2级评论,6,287,2025-03-25 01:59:06
晓响雷电王提督,男,遇到这种，带上电瓶车头盔带上手套，烘培手套或者骑行手套，穿上长袖棉袄，长裤避免有裸露的皮肤，也可以戴围脖增加颈部防护，最后打开门使用拖把或者扫帚驱赶猫咪即可。,,1级评论,6,266,2025-04-03 18:21:39
赞妮丶,保密,回复 @界桥先登破白马 :经典铁男打悠米,晓响雷电王提督,2级评论,5,3,2025-04-11 17:10:57
界桥先登破白马,保密,都这么全副武装了还开门，我直接跨过生死之门接断魂一扼再接破灭之锤😤,晓响雷电王提督,2级评论,5,124,2025-04-09 16:10:29
想变成胱的cheema,男,"圆头无耳朵
猫爹一碰就哈气
可爱哈基米",,1级评论,5,201,2025-04-09 18:58:50
不吃回旋,男,最哈气,想变成胱的cheema,2级评论,6,12,2025-04-09 23:49:28
卖竹鼠的南梦芽,保密,最尖毛,想变成胱的cheema,2级评论,6,3,2025-04-11 11:09:43
陈誠,男,同款古战场[笑哭][笑哭][笑哭],,1级评论,6,156,2025-04-01 04:06:40
哥伦比娅colombiya,女,要是我早就这样了,,1级评论,3,71,2025-03-24 13:01:07
Warm_Beats,男,挖，还有星之息,哥伦比娅colombiya,2级评论,6,0,2025-03-24 14:50:20
也show仙贝,男,强手裂颅,哥伦比娅colombiya,2级评论,5,6,2025-03-24 14:33:06
布惠曲珉,保密,给大家看看我养的耄头硬😁,,1级评论,5,43,2025-04-13 18:07:42
阿格莱雅不会哈气,保密,哈！,,1级评论,4,1466,2025-03-23 12:03:24
AAA对空洞六课星见雅170,女,回复 @lod00000 :什么啊？我怎么看不清这两个字啊,阿格莱雅不会哈气,2级评论,4,1,2025-03-28 21:54:21
lod00000,女,哈姆,阿格莱雅不会哈气,2级评论,4,196,2025-03-23 19:52:45
日鞠羽衣,保密,哈三次放强化普攻那个给我笑成答奋了[Mygo表情包_生气][Mygo表情包_生气][Mygo表情包_生气],,1级评论,5,91,2025-04-17 19:57:31
ereggeer,保密,无CD这一块,日鞠羽衣,2级评论,4,3,2025-04-18 01:50:00
差点被仨小崽子累死,保密,以前好奇为什么有人那猫比喻成足球，这下看懂了[笑哭],,1级评论,3,300,2025-03-24 19:51:35
芹菜c-,女,爱猫的启蒙,差点被仨小崽子累死,2级评论,6,18,2025-03-24 22:17:10
差点被仨小崽子累死,保密,这个我是真想踢[笑哭],差点被仨小崽子累死,2级评论,3,42,2025-03-24 19:52:06
孤独的边界,保密,如果你们觉得网暴一个1岁的近亲繁育+双向老吴障碍＋棘背龙形态＋炸毛+圆头飞机耳+应激哈气＋嚼口香糖+随地跳街舞的哈基米很好玩的话，你们可以继续,,1级评论,6,57,2025-03-25 11:45:31
洋-SHEEEEEEP,男,确实好玩,孤独的边界,2级评论,3,4,2025-05-05 08:32:26
绫子爱吃糖,保密,应激了，觉得这么大的人晃悠对他来说是威胁。智力不够，分辨不出来好坏，也不对人亲,,1级评论,5,335,2025-03-24 11:32:49
天下氵第二,保密,正适合爱[嗑瓜子],绫子爱吃糖,2级评论,4,52,2025-03-24 11:56:19
78无业,保密,"这猫本身就坏,你可以去看原博主发的视频,坏到骨子里了",绫子爱吃糖,2级评论,4,31,2025-03-24 16:20:30
日本球玊里奥吆西,保密,狂野，震撼亚洲！,,1级评论,6,540,2025-03-24 09:44:19
Ciaitexi,男,控龙，抗狼吉米！,日本球玊里奥吆西,2级评论,5,155,2025-03-24 11:06:52
八幡の立希,保密,可疑，这还有詹？,日本球玊里奥吆西,2级评论,5,66,2025-03-24 11:18:11
先疯派刈术家,男,我不明白为什么一只恐怖直立猿会被一只猫拿捏,,1级评论,6,402,2025-03-24 11:08:48
DiamondHbZ,男,因为人想的是无伤通关，如果受伤了直接血怒就开始拼了,先疯派刈术家,2级评论,6,316,2025-03-24 12:45:51
