用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
闲的慌门二次元,保密,我希望拍视频的人付出代价，太嚣张了,l评论已不存在l,2级评论,5,54,2023-12-23 15:23:17
灵感大王---,男,回复 @闲的慌门二次元 :肯定判了,l评论已不存在l,2级评论,4,4,2024-01-06 12:14:52
乡愁夜南,男,虐猫是道德上的，围堵打人就是法律上的了。,,1级评论,6,260,2023-03-03 23:08:19
账号已注销,保密,打人更是道德上的,乡愁夜南,2级评论,0,20,2023-03-04 16:12:11
一口十个毛豆,女,都清楚打人会承担法律责任，他们自己选的,乡愁夜南,2级评论,6,45,2023-03-06 13:30:07
BenjaminRen,男,没有立法最后导致的就是会私刑泛滥，这是法治社会不应该出现的，支持尽早立法。,,1级评论,5,540,2023-05-23 11:38:17
迷路の少帅,保密,问题是怎么立法，这太难了，稍不留意就会导致大量的人借着法律开始给人扣虐待的帽子,BenjaminRen,2级评论,6,26,2023-05-24 14:21:14
酒磅十五便士喵,保密,回复 @迷路の少帅 :香港澳门台湾都有相应的保护动物法，就大陆没法立法是吧,BenjaminRen,2级评论,5,29,2023-05-25 23:00:56
54636590940_bili,保密,虐猫的的大概率行政拘留十五天；但是打人这几个，得坐牢,,1级评论,5,512,2023-03-01 18:31:01
快闪の牛马,男,躺着让人打，拿手机挑房,54636590940_bili,2级评论,6,9,2023-03-01 18:42:58
luoccc1022,保密,事实上灰度还是有的,54636590940_bili,2级评论,5,1,2023-03-01 18:46:36
可是你渗透我所有季节,保密,虐猫是该死，我也恨不得冲上去给他两耳光，但是国家是有法律的，我们不该以暴制暴，如果对虐猫者使用这些我们和它们有什么区别,,1级评论,5,431,2023-05-18 06:07:38
愿你生活更美好,保密,法律漏洞罢了，怎么和它怎么没区别了，别人打你一巴掌，你还手就和他没区别了？就这时候才需要法律呢，既然没有法律，那我去他丫的，和这种人还谈什么道德[呲牙],可是你渗透我所有季节,2级评论,5,84,2023-05-21 21:45:47
影霸k,男,对于就应该以暴制暴，你知道为什么会有人喜欢超级英雄吗？蝙蝠侠，蜘蛛侠。。。那是因为很多时候遇到邪恶势力没有办法，指望警察，指望政府指望不上呀，只有幻想一个虚幻的人物来保护老百姓，而这些罪恶的人就应该为他们的所作所为付出代价，就算这些罪恶的人死了，也是罪有应得，有句话说的好“早知现在何必当初”自己犯下的罪就应该自己承担相应的后果，死不足惜,可是你渗透我所有季节,2级评论,6,34,2023-05-23 18:13:08
代号丶小野猫,保密,首先这个行为不提倡，但是在对于猫狗的动物保护法未正事出台之前，这个行为对虐待者是最让他印象深刻的有效方法，就很矛盾！,,1级评论,6,468,2023-03-01 18:22:47
Sonicsforce,保密,肯定不提倡 但是看着真tm解气[脱单doge],代号丶小野猫,2级评论,6,74,2023-03-01 18:33:53
诺斯菲_弗茨亚茨,女,首先動保法是保護野生動漫的，關於寵物家畜只有貿易法，更何況流浪貓狗一天不處理，不可能有僅對於貓狗的保護法出台,代号丶小野猫,2级评论,6,21,2023-03-01 19:00:46
凉萌度人心,保密,哈哈哈笑死了，到最后犯法的原来是这群爱猫人士[喜欢],,1级评论,6,88,2023-08-29 01:09:53
账号已注销,保密,有个反动保的up主收到虐猫人士的邀请，他们是乳化+反社会倾向，你打算怎么洗？打了不服？,凉萌度人心,2级评论,0,13,2023-09-02 17:11:57
RTX2060Refresh,保密,难道不犯法?,凉萌度人心,2级评论,5,4,2023-09-02 19:35:14
引壶觞以自酌的冬雷,保密,本质是为了自己的同情无视法律，不支持不提倡,,1级评论,6,199,2023-03-01 18:21:33
寸丘,女,领养之名虐杀，说白了就是违约了嘛，跟欠钱不还被打其实是一个道理。,引壶觞以自酌的冬雷,2级评论,6,96,2023-03-01 18:23:21
找麻烦是我得职业,男,回复 @寸丘 :我觉得这种事应该出法律管管这种虐猫的变态了[热][热][热],引壶觞以自酌的冬雷,2级评论,5,50,2023-03-01 18:31:09
拯救一只彭彭,保密,虐猫者发布视频最多行政拘留十五日且不会留下案底，但是这些围殴者将会是实打实的刑事案件并且会留下案底影响家人及后代。个人建议在这种事情上还是要多一分冷静。,,1级评论,5,66,2023-03-01 21:23:00
账号已注销,保密,行政拘留算案底,拯救一只彭彭,2级评论,0,0,2023-08-18 07:49:06
拯救一只彭彭,保密,回复 @爱整活的샤오미 :行政拘留没有案底，你找个律师咨询一下就知道了。,拯救一只彭彭,2级评论,5,0,2023-08-18 10:51:37
-西红-柿炒蛋-,女,虽然虐猫不对，但这是对公民私刑也属于违法，到时候如果人家讹你一手，你也吃不了兜着走，还是交给警察吧,,1级评论,5,41,2023-04-15 23:25:39
後搖狗,保密,是这样的 一个是最多拘留15天 一个判刑 法盲是这样的,-西红-柿炒蛋-,2级评论,6,8,2023-04-16 04:11:34
东方穹苍,男,回复 @後搖狗 :虐杀的只要不是保护动物是不犯任何罪的谢谢，但是把视频在网上传播就是违法了。,-西红-柿炒蛋-,2级评论,5,4,2023-10-03 22:22:50
i3000爱探索,男,虽然这些人的行为是违法的不提倡，但是！大快人心啊！！,,1级评论,6,1613,2023-03-01 18:15:10
鸭小拯,男,不小心踩到人和故意踩人，这都是完全两个概念，某些人自己好好想想吧,i3000爱探索,2级评论,5,58,2023-03-01 18:35:10
绿铀,男,不好意思我没有看见[doge],i3000爱探索,2级评论,6,11,2023-03-01 21:45:12
大黄狗将军,保密,虐人比虐猫更可恶，爱猫人士的所作所为保护不了猫，只要出现因为虐猫导致的虐人事情，就会有100只猫为此陪葬，你们达不到目的，只会让虐猫这个行为越演越烈，让所有讨厌猫的人讨厌爱猫人士的人升级战争。,,1级评论,5,116,2023-12-24 20:28:07
pabhdunac,男,"100只猫又如何，针对的是虐待者，失业算小的，能让一个虐待者失学，改变它的一生，它就算虐一万只又如何？那一万只损失的加起来未必比它多。
虐待者针对的是动物，而反虐者针对的是作为人的虐待者。不需要救那些动物，不去针对具体的人，动物是救不完的",大黄狗将军,2级评论,5,11,2024-01-03 14:01:08
大黄狗将军,保密,回复 @二加上二 :那直接消灭猫这个种群不就行了，这样大家就没矛盾，你说呢？[脱单doge],大黄狗将军,2级评论,5,11,2024-01-11 00:48:30
黑暗骑士Nobody,保密,这样的人，你们想想他手上要是有个小孩他会怎么搞？,,1级评论,6,2777,2023-03-01 21:39:54
万物皆可牌,保密,日本有一个新闻，好像是一群学生在虐待一只猫，一个流浪汉去阻止，结果就被杀了。还有日本一个16岁的少女把同学肢解了。这个少女好像从小学的时候就开始虐杀流浪猫了。,黑暗骑士Nobody,2级评论,5,183,2023-03-03 15:53:01
睡不够的汤姆猫,保密,小孩落到这群人手里，后果我都不敢想,黑暗骑士Nobody,2级评论,5,4,2023-03-03 19:54:37
可乐穿山甲,男,没必要站在道德至高点去指责他人，纵然他虐杀猫不对，我们应该去指责、谴责甚至是憎恶他，但他终究是没有违法的，另外难道没看到其他人对他的非法拘禁、人格侮辱和对他“人”的人身威胁吗？那么到底是人大于猫，还是猫大于人呢？,,1级评论,5,32,2023-03-03 16:07:35
一口热水慰平生,保密,人大于猫仅限于人和猫只能选一的情况，虐猫者在可以人等于猫的时候非要人大于猫，其他人为了猫断送自己的自由，在应该人大于猫的时候非要猫大于人，都有错误,可乐穿山甲,2级评论,6,5,2023-04-16 20:02:13
追忆丶君莫笑,男,回复 @一口热水慰平生 :凭什么猫能等于人？,可乐穿山甲,2级评论,6,3,2023-07-28 08:58:36
蓝白硬币巧克力,保密,领养再虐杀还有人能洗可还行....[tv_皱眉],,1级评论,6,3506,2023-03-01 19:33:14
纳络维纴,保密,你这下面就有一个洗的，无语,蓝白硬币巧克力,2级评论,5,73,2023-03-01 21:46:55
苞米茬子儿,女,看国外那种刑侦美剧，像这种人，心理会慢慢进化的，先是动物，慢慢的就会是人，而且刹不住车的，会在凌虐上寻找快感，这种人感情冷漠，毫无愧疚感的，只会变本加厉,蓝白硬币巧克力,2级评论,5,134,2023-03-01 22:17:18
梓枒阳光,保密,虽然我觉得虐待猫的人很残忍，但是看到有人说“今天敢虐猫，明天就敢杀人”的言论，是不太相信的，觉得太小题大做了，还以为这只是极端爱猫人士自己说的话。直到今天看到一个事件，一个女生的猫被男朋友活生生打死了，但是最后她还是结婚了，然后就被家暴进医院了。然后报道里详细介绍了很多sha人犯，都有虐待动物的前科，我以前一直以为是夸张手段，没想到原来都是真的，太可怕了，原来虐待动物确实是因为暂时没有胆量虐待人，但是已经有这种欲望。迟早会这么做,,1级评论,5,39,2023-03-15 10:33:00
溺蝶生,保密,很多杀人的都有虐待动物的，因为一开始他们都是从小动物开始,梓枒阳光,2级评论,6,7,2023-03-15 23:15:33
腐蟑螂,保密,必要不充分条件 虐小动物的不一定虐人 虐人的一定虐小动物,梓枒阳光,2级评论,6,3,2023-03-16 08:55:10
爱吃噗忒头,保密,别说是爱猫人士了，普通人听到领养猫咪然后残忍虐待致死都会很愤怒吧[辣眼睛]不过爱猫人士这种行为并不提倡,,1级评论,5,129,2023-03-01 19:01:25
UTAKSSSYONL,男,我不会，但我希望虐猫的人和爱猫的人保持理智，不要辱骂恶言相向，在线上线下挑起对立。我选择尊重死去生命的命运,爱吃噗忒头,2级评论,5,1,2023-08-12 18:26:45
灬朱突猛进灬,男,假如，从我手里被领养出去的猫遇到这种变态我不保证不和他们做法一样。当然最好还是熟人知根知底的才给最好，保险点。,,1级评论,6,29,2023-03-01 18:26:43
账号已注销,保密,支持，希望能加入这些正义人士的行列中，学习他们的行为勇敢的出击[打call][打call][打call]这样才能有人与猫猫幸福的世界[打call][打call],灬朱突猛进灬,2级评论,0,2,2023-05-10 03:12:14
找麻烦是我得职业,男,说真的如果这个男的是真的领养猫再虐杀我觉得被揍是不过分，我觉得现在应该出台法律管管这种虐待动物的变态了[热][热][热][热],,1级评论,5,1394,2023-03-01 18:21:02
满脑子帕克,男,回复 @不过人间-阿木 :有问题的是虐待这个行为，而不是对象，一味的偷换概念难道你想和虐猫者共情吗？[doge],找麻烦是我得职业,2级评论,6,116,2023-03-01 18:37:41
薇风雪雨,保密,回复 @貌似纯洁的银 :逗比了。。食用和虐杀一个概念？真是九年制义务教育还没到你们那是吧？广西偷狗贼被抓不被打？,找麻烦是我得职业,2级评论,5,51,2023-03-01 19:09:27
密思沃特,保密,虐猫是道德问题，但是打人确实是违法问题了,,1级评论,5,23,2023-03-03 17:01:18
悦见酒,男,发布虐猫视频已经违法了,密思沃特,2级评论,6,6,2023-03-03 17:45:33
森の呼啸之嗜血咕妞妞,保密,我认为道德是基于人和人之间的，和动物没有道德可谈。,密思沃特,2级评论,5,5,2023-05-14 13:26:48
定心咒,保密,问题是这几个爱猫人士的行为让人感觉就是去找机会泄愤的。还是说这就是个段子？不然这种行为你们是要坐牢的呦。,,1级评论,3,25,2023-03-04 17:57:59
账号已注销,保密,回复 @辣条我是你猫爷爷sir :非法拘禁 故意伤害  这个还真是刑事案件哦  案底是一辈子   虐猫男传播视频最多治安处罚而已,定心咒,2级评论,0,2,2023-07-20 13:53:09
蓄意丨轰拳,男,回复 @辣条我是你猫爷爷sir :你是真不知道那几个人犯了什么罪呀,定心咒,2级评论,5,2,2023-07-12 05:55:07
他们没啥用啊,男,去私刑一个私刑动物的人是不应该提倡的，当说要立法保护动物时，我们要知道法律已经明确规定保护人的权利。这个虐待小动物的人没道德，但是私刑这个人更没道德并且违反法律,,1级评论,5,29,2023-03-03 16:30:24
追忆丶君莫笑,男,犯罪嫌疑人是六名,他们没啥用啊,2级评论,6,3,2023-03-04 12:42:13
脱碳甲醛与氢氧化氢,男,回复 @追忆丶君莫笑 :证据确凿，罪犯六名。,他们没啥用啊,2级评论,6,2,2023-03-12 05:05:08
双鱼没有坚持这种东西,保密,虐杀猫马上就不能满足他了，他就会开始杀小孩，然后是虐杀成人。,,1级评论,6,3157,2023-03-01 18:50:10
水饺只吃皮,保密,是的。那个男的就是杀了女朋友的猫，但是对女的没有暴力倾向，领证第二天就家暴她了。,双鱼没有坚持这种东西,2级评论,6,340,2023-03-01 19:07:44
等牛粪的小花,保密,是的，变态连环杀人犯都是从虐杀小动物开始的要警惕的,双鱼没有坚持这种东西,2级评论,6,135,2023-03-01 18:52:41
悟剑二十三,男,注意是多次多次！以领养的名义！真的很恶心！,,1级评论,6,5141,2023-03-01 18:57:58
哲学青年洛天依,男,借个楼，大家可以在破站搜搜虐猴的视频，里面评论区会让你们知道什么叫做生物多样性[蛆音娘_吃瓜群众],悟剑二十三,2级评论,6,230,2023-03-01 22:37:43
不三不四帆不二,男,回复 @逝德我们有一个骸孜 :他虐猫拍视频上传说明有这一条产业链，而且是多次领养，宠物店对于领养者的审查不够，再来就是现在确实有太多弃养的,悟剑二十三,2级评论,6,69,2023-03-01 22:39:58
小阿伟罗要打复活赛,保密,"希望严惩六名犯罪嫌疑人
首先，这是一起有组织有预谋的犯罪活动，并且嫌疑人还拍摄视频发布到网络，严重危害了公共安全，并造成了非常恶劣的影响。
其次，“爱猫”不能成为犯罪的借口，要防止有心之人用类似借口实施其他犯罪行为。",,1级评论,5,113,2023-03-04 13:39:54
太晚怕迷路,保密,回复 @东方标子 :这哥们说的有问题？今天虐猫这种小事，被他们当做借口来动用私刑。明天又会是什么呢？,小阿伟罗要打复活赛,2级评论,6,13,2023-04-11 05:22:50
elic52001,保密,回复 @东方标子 :他虐猫，他们就可以虐人是吧，猫就是个猫而已，公共场合虐猫引起人同理心，当然要阻止，但是如果是私下虐猫，你只能道德谴责他，怎么你还想动私刑？你怎么那么牛呢,小阿伟罗要打复活赛,2级评论,6,11,2023-04-15 13:44:50
黑色潮汐,男,"虐猫者固然恶心可恶，但爱猫人士并没有私刑的权利，对于这些爱猫人士的行为，我既不赞同也不提倡。
对于虐猫者的处理，更建议向周边曝光，公开道歉，以免周边居民的宠物乃至孩子受到不法侵害。",,1级评论,6,43,2023-03-01 19:18:23
过来扶我啊,男,知不知道什么叫隐私权,黑色潮汐,2级评论,5,7,2023-03-01 19:39:31
卧龙岗上擒虎豹,男,回复 @黑色潮汐 :虐猫杀猫又不犯法，道什么歉,黑色潮汐,2级评论,6,4,2023-03-01 21:13:43
呃呃反正早晚回来,男,我不是什么爱动物人士，在我看来，要吃猪肉牛肉什么的宰了也就宰了，但请给人家一个痛快，虐杀不能说明你很强，只能说明心理有问题了,,1级评论,5,8067,2023-03-01 23:37:27
绮罗魂,保密,他不仅仅是虐待，还故意拍下来发给宠物原主去恶心别人，肉体虐待动物，精神虐待人类,呃呃反正早晚回来,2级评论,6,929,2023-03-02 19:38:29
我对不起你-憨憨,保密,回复 @豆浆机排位 :他冒领养猫也就算了。还故意拍下虐杀的这些视频发给别人，发给原主人，发到网上，他被打也活该，这种变态，是真TM恶心。他发虐杀视频这个行为本身就是违法的。还说动脑的人打他是违法，就算违法，可这也算得上是以暴制暴。谁让他把虐杀的视频发给这些动保的人，发到网上呢，他发这些视频的时候，这不就是赤裸裸的挑衅，他发的虐杀视频，虐待了这些动保的人的心理精神，还有原主人的心理精神。所以我只能说它是活该。你们一个个怎么不说说它这些行为啊？,呃呃反正早晚回来,2级评论,6,117,2023-03-04 02:57:57
玄湿,保密,人和动物根本不能做到平起平坐  虐猫的人是不对但不违法 只能是做到警告或者口头上的教训 但要是以爱动物的名义去拘禁人打人  你连人都不能做到人人平等有什么资格去爱猫  人都只是趋利避害 如果猫狗咬人挠人我希望你们不要因为咬了你就把猫狗丢掉 这种人比把猫虐死的更恶心,,1级评论,6,21,2023-03-03 18:22:30
玄湿,保密,回复 @新破站用户 :是的  咬人的动物不能留倒没什么 最虚伪的是之前口口声声说虐待动物的人该怎么样，动物咬到他之后回头就把动物虐待死打死之类的最恶心,玄湿,2级评论,6,6,2023-03-03 19:48:11
账号已注销,保密,回复 @玄湿 :虐带动物只要不造成恶劣影响，基本没人管你，只能算道德问题，但视频里这些“正义人士”已经犯罪了,玄湿,2级评论,0,6,2023-03-03 18:32:38
Kasa_Blanco,保密,虐杀任何动物重要的问题在于“虐杀”，他们享受“虐杀”带来的感觉，并在网络上大肆传播，去满足更多对“虐杀”感到心理满足的变态。这些变态，即使还没有开始对社会造成危害，心里也早就想去伤害更多动物，甚至是人了[微笑]这是为什么一定一定要严惩要制止,,1级评论,6,20,2023-05-11 17:20:07
大黄狗将军,保密,那打人怎么处理！打人不是对人虐待？为什么只有猫权没有人权呢？,Kasa_Blanco,2级评论,5,4,2023-12-11 23:46:21
路人王哟i,保密,虐杀动物是潜在罪犯  土逼动保是现有的罪犯 直接进去蹲一蹲吧,Kasa_Blanco,2级评论,6,4,2023-10-15 14:05:36
释放瞌睡虫,保密,说被打可怜的 最好祈祷你的儿以后别遇到这种变态,,1级评论,6,109,2023-03-02 00:59:03
零时钟-,保密,不会吧？儿？你把__当儿了，希望你只是说说而已[吐],释放瞌睡虫,2级评论,6,15,2023-03-23 09:55:38
追忆丶君莫笑,男,最好还是祈祷不要遇到六名犯罪嫌疑人,释放瞌睡虫,2级评论,6,8,2023-03-04 12:39:54
我家狗叫豆汁儿,保密,两边都不是好玩意,,1级评论,6,19,2023-03-01 18:37:40
回旋大香蕉广东分蕉,保密,说的没错,我家狗叫豆汁儿,2级评论,6,0,2023-03-01 19:29:46
云霞水澈,男,省流：都有问题,,1级评论,5,19,2023-03-03 22:12:54
雕翎白羽,保密,不管虐杀什么心理都是及其变态的 距离虐杀同类也不远了,,1级评论,6,19,2023-03-01 18:21:09
livm4484,保密,不远也还没到[滑稽]但所谓的爱猫人士虐待人已经发生了。谁更危险[滑稽]还是团伙的,雕翎白羽,2级评论,4,7,2023-03-01 19:37:23
被离神了,保密,回复 @livm4484 :无限接近与恐怖组织[喜极而泣],雕翎白羽,2级评论,5,2,2023-03-03 16:18:48
莎尔萝蒂猫,保密,我觉得吧 如果是为了生存的杀戮是可以的 就像我们要吃猪牛羊一样 但是如果是单纯的虐待这个我就不太接受了,,1级评论,6,19,2023-03-22 11:21:55
夜空衡,男,虐猫人士有没有虐人我不好说，但爱猫人士确实虐人了,,1级评论,5,18,2023-07-03 11:49:51
whitecorsair,保密,回复 @酒酿元宵Airry :你和他做邻居去吧宝贝儿,夜空衡,2级评论,5,4,2023-07-20 16:17:23
夜空衡,男,回复 @whitecorsair :这就是猫友！,夜空衡,2级评论,5,4,2023-07-19 16:56:40
什么ID违规,男,动私刑犯法，,,1级评论,6,18,2023-03-11 00:53:48
什么ID违规,男,回复 @海之美琴 :那你敢嘛，你敢你就蹲，我是事实，你讲话和答辩一样,什么ID违规,2级评论,6,5,2023-03-12 11:35:13
雲耘-FLYCLOUD,保密,回复 @6ksyfheod :不仅犯法，还要给虐猫者道歉赔偿，子女考公受影响，还要踩几年缝纫机，血亏,什么ID违规,2级评论,6,2,2023-04-18 12:35:30
秋名山风炮补胎,保密,虐猫确实该惩戒，但应该移交公安机关，这样做合理合法，免得自己上手惹来不必要的麻烦。虐猫不是好事，会招来祸端，离这些人远点没坏处。,,1级评论,6,17,2023-03-03 16:18:11
账号已注销,保密,回复 @纸片人什么的最讨厌拉 :虐猫的有没有罪我不知道，但是那几个爱猫人士可是有罪的,秋名山风炮补胎,2级评论,0,10,2023-03-03 20:54:41
此号封印-,保密,送公安机关？他有什么罪,秋名山风炮补胎,2级评论,5,4,2023-03-03 16:21:23
第九特区,保密,张三哪天虐猫虐腻了，就加入动保,,1级评论,5,16,2023-03-12 21:48:11
淞坂大鹅REAL-S,男,你们这种方式欺负人岂不是比虐猫还过分,,1级评论,6,17,2023-04-15 23:37:55
怪味熊本熊,保密,这种方式也是犯法，警察自然会处理，但是发布虐猫视频是传播血腥暴力，不要在这里误导大众好吧[藏狐],淞坂大鹅REAL-S,2级评论,6,9,2023-04-16 02:37:25
後搖狗,保密,回复 @怪味熊本熊 :传播又怎么了 就是违反治安管理条例互联网传播条例而已 他们几个是动了私刑 寻衅滋事跑不掉 达到侮辱罪 故意伤害罪就判刑 到时候跪着求受害人谅解[偷笑],淞坂大鹅REAL-S,2级评论,6,6,2023-04-16 04:03:05
blueword0559,保密,虐猫的还没虐人呢 爱猫的就已经开始非法拘禁了 谁危害更大一点我想大家心里有数了,,1级评论,6,15,2023-12-14 09:54:36
想飞的塑料袋,保密,非法囚禁是违法的,,1级评论,6,15,2023-12-31 13:58:01
奥地利的梅特涅,男,爱猫人士违法了，立刻抓起来！,,1级评论,5,14,2023-11-13 15:11:08
渐渐776,男,敢虐我的🐱爹？必须死刑！必须枪毙！今天敢虐猫，明天就敢杀人！这种杀人犯留着他干嘛？强烈建议虐猫入法判死刑！,奥地利的梅特涅,2级评论,5,3,2023-12-09 13:10:28
yrnv,保密,对，抓起来直接一锤子把他脑浆打出来,奥地利的梅特涅,2级评论,5,0,2023-12-04 20:39:40
挂机纯牛奶,男,好耶，这下好了，这几个狗成犯罪团伙咯，给自己家后代留案底了,,1级评论,6,14,2023-12-31 06:07:01
波罗的海的萝布,保密,回复 @锦锦r :笑,挂机纯牛奶,2级评论,5,1,2024-01-08 20:19:04
清妖害华至今未停,女,团伙作案，殴打，侮辱他人，行为极其恶劣，必须坐牢，对男子赔偿,,1级评论,6,13,2024-01-04 19:17:48
清妖害华至今未停,女,回复 @锦锦r :你不用给我讲大道理，我比你清楚，我在给你讲法律，法律可不给你扯，它们几个打别人，属于团伙作案，起诉告它们至少五年起步，团伙作案，你可懂？,清妖害华至今未停,2级评论,6,9,2024-01-06 18:34:47
来一罐冰镇啤酒,保密,回复 @锦锦r :传播？要不是这几个狗急跳墙的跑去人家家里闹事谁看到他虐猫啊！你说人家传播，那完全可以直接举报，怎么？找不到别人传播血腥暴力的证据就先把自己也搭进去了？[调皮],清妖害华至今未停,2级评论,4,6,2024-01-08 17:01:02
隔壁小银,保密,杀猫并不违法，但是你们私刑违法,,1级评论,6,39,2023-03-04 07:57:13
kapaten阳,保密,回复 @青盼安 :男性会看p，所以男性都是潜在的qj犯。这逻辑不是合女拳一个逻辑吗？虐猫的还应该庆幸他们只拿动物发泄。并且不伤人。评论区一堆爱猫的可是天天教唆杀人，你说哪个危害大?,隔壁小银,2级评论,4,6,2023-05-21 02:29:28
冷静的浪神,男,爱猫人士就不好说了，三点起步吧！,隔壁小银,2级评论,6,4,2023-03-04 08:56:58
阿瑞想不到新名字,保密,现在虐猫，等他遇见了毫无反抗的走失幼童时候，是不是也要虐童了？,,1级评论,6,13,2023-03-01 23:15:50
账号已注销,保密,真的可怕，果然像那六位英雄一样的人还是少了。虐猫的人何止是敢虐童，再过一段时间他们就敢虐成年人了真的太可怕了,阿瑞想不到新名字,2级评论,0,2,2023-05-10 13:14:10
削皮削鸭梨,男,这虐猫的属于心理变态啊，打人的也确实不能行私行。有没有什么方法能够合法的整治这种变态？虽然我心里来讲，也想打他一顿。,,1级评论,6,13,2023-03-01 23:04:18
猫可子,保密,看见弹幕说那些爱猫人士够判刑的，你是不知道变态杀人狂绝大多数都是从虐待动物开始的，下一次没准就是你家孩子。,,1级评论,5,13,2023-05-10 20:14:32
大牛比較懒,女,哈哈哈，到时候不管你干没干，先大帽子扣到你头上，直接给你来私刑你就开心了。,猫可子,2级评论,6,4,2023-05-14 08:35:11
桃味豆腐脑,女,很多连环杀人犯都是从虐杀动物开始,,1级评论,6,14,2023-03-01 23:33:49
追忆丶君莫笑,男,所有连环杀人犯都是从人下手的，和六名嫌疑人一样[微笑],桃味豆腐脑,2级评论,6,6,2023-05-04 00:44:22
我才是坂田银时,保密,我支持这几个打人者,,1级评论,6,13,2023-03-01 18:41:30
账号已注销,保密,支持，希望你也加入，只有人人都像六位英雄一样，才有美好但未来[打call][打call],我才是坂田银时,2级评论,0,2,2023-05-10 03:25:34
被离神了,保密,然后就被拘留了[喜极而泣],我才是坂田银时,2级评论,5,1,2023-03-03 16:12:15
摩柯无量寿,保密,我操，虐人的,,1级评论,6,12,2023-11-25 22:38:08
勇敢的食坤花,保密,那些打着爱护动物旗帜打人的，今天它敢打人，明天它就敢去商场学校杀人,,1级评论,5,12,2023-03-02 22:51:01
巫师瓜瓜,男,回复 @勇敢的食坤花 :但是都是不好的行为,勇敢的食坤花,2级评论,6,1,2023-06-08 19:29:41
勇敢的食坤花,保密,回复 @天烬君 :虐猫不正确但不犯法，打人囚禁既不正确又犯法,勇敢的食坤花,2级评论,5,0,2023-06-08 14:20:16
