用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
皂袍老者,保密,？丧心病狂，这种人心里是不是有点问题？可以不爱，请别伤害！   怀疑反社会人格[怪我咯],,1级评论,6,10,2021-10-26 18:08:47
Kyou3,男,能因为体型和力量的优势这样对待猫，就可能因为经济和地位的优势这样对待人。,,1级评论,6,10,2021-10-26 18:32:49
一串屑鱼圆ouo,女,为什么这种视频总是有人乱讽刺爱猫人士[辣眼睛]它这样做本来就不对啊，况且这猫也挺温顺的,,1级评论,5,122,2021-10-27 13:24:52
柴油车-,保密,这个它用得真好,一串屑鱼圆ouo,2级评论,5,2,2021-10-30 12:10:02
亲亲喵喵咪咪,女,我现在除了我艹我什么也说不出来了[囧],,1级评论,6,7,2021-10-29 22:18:25
亲亲喵喵咪咪,女,这潜在的社会败类吧，这视频我都不敢看完[囧]，这种人确定以后不会变成杀人犯吗[囧],亲亲喵喵咪咪,2级评论,6,0,2021-10-29 22:20:50
Gloves_手套,保密,心理扭曲，心理变态，这种变态扭曲残杀小动物生命的开始，就是犯罪的前夕。,,1级评论,5,9,2021-10-26 21:44:34
Alice丶Rin,男,还有发干得漂亮的？我rnm,,1级评论,6,9,2021-10-26 19:30:45
呱唧瓜呱,男,暂停不敢看了，我无法想象猫猫所受到的痛苦[捂脸],,1级评论,6,9,2021-10-26 19:24:02
bili_381690781,男,共情能力属实厉害,呱唧瓜呱,2级评论,6,1,2021-10-26 22:23:46
卡池里根本没有坏狗,保密,控制不好自己暴力倾向的人说实话很危险，可能我想法比较偏激，如果杀人不犯法，对人使出自己的暴力倾向不犯法的话，他这行为完全有可能对人做(只是我个人想法而已),,1级评论,6,7,2021-10-29 07:08:48
卡池里根本没有坏狗,保密,话说外卖很憋屈是没错，但是评论区有人说什么要体谅这种行为就很奇怪？别的外卖员也不这么做啊，而且这种控制不住自己暴力倾向的人不知道什么时候会对人下手的好吗？说不能让他丢了外卖这份工的有没有想过，他有的是机会去了解顾客的情况，比如这间家家里有几个人什么的，你给了他差评他完全可能去你家对你做出他对猫做的类似的事？,卡池里根本没有坏狗,2级评论,6,1,2021-10-29 07:19:21
SQ老公,男,弹幕发哈哈哈哈的人是nt吗[tv_白眼],,1级评论,5,9,2021-10-30 00:02:11
枫瑟儿,女,是,SQ老公,2级评论,5,0,2021-11-14 09:41:17
Entolair,保密,不是，它们连nt都不如,SQ老公,2级评论,5,0,2022-05-03 14:21:21
艾伦大小姐想让我坐下,男,服务业不适合这种人干，所以也别洗了,,1级评论,6,10,2021-11-23 13:07:09
兔子想碎觉,保密,"有些人喜欢用治愈来削减不好的心情，
有些人喜欢用发泄来削减不好的心情，
虽是情理之中，但我无法原谅

（对别人卑躬屈膝的“丈夫”回到家殴打妻子和孩子来发泄心中的憋屈和愤怒，
被生活压垮被丈夫殴打的“母亲”只能殴打孩子来发泄心中的怨恨，
被校园霸凌和家庭暴力的孩子喜欢上了虐杀小动物来发泄心中的憎恨，
或许他会成为下一位“父亲”）
即便现在的阳光已经那么灿烂，却依然有照不到的阴影",,1级评论,6,9,2021-10-27 13:20:14
自古英雄出少年123,保密,"明确几点：
1.没有杀猫就要被死刑的法律。
2.做出这种无端的暴力行为说明他有心理问题。
3.遇到问题要解决，不能放着不解决。同理，这个人要接受心理辅导，单单解雇他只是纵容问题变坏。
4.我没有说他无辜，也不是说他做得好或没错。",,1级评论,6,9,2021-10-27 20:29:10
栗棠针町郎,保密,必须死刑！😡,自古英雄出少年123,2级评论,5,0,2021-10-27 22:39:21
黯言牢登-SC典狱长,男,这男的有病  洗他的也有病 离这些“人”远点 好了 老子话就放这[OK],,1级评论,6,8,2021-11-11 02:38:33
会游泳的企鹅,男,不说贴吧，B站都有这种人聚集，没错，别以为是个例，不敢在这里蹦哒而已,,1级评论,6,8,2021-10-27 06:28:22
子Fang,男,我小时候也干过但没这么狠，我们邻居小孩把猫从五楼扔下去过，我也试过抡起猫尾巴，但力气小让猫挣脱了，还踢打过狗。现在肯定没这想法了,,1级评论,6,8,2021-10-26 22:53:14
键盘侠捕捉者,保密,小时候善恶观念不健全，这是正常的，但一般旁边有大人都会阻止这种行为，小孩子的善恶观念就是这样慢慢形成的。但成年了是非观念健全了还做出这种行为就离谱,子Fang,2级评论,6,7,2021-10-26 23:22:17
杨正欣_,男,太残忍了,,1级评论,6,8,2021-10-26 18:03:16
水边刷新的NPC,保密,"虽然我不喜欢猫狗，小时候被咬有心里阴影。。。
一般看到也就无视，只要不对我吼叫的狗，有时候经过会扔根火腿肠。
但尼玛，这家伙怕不是变态吧？[辣眼睛]",,1级评论,6,360,2021-10-26 22:49:55
百里西彦,男,你的做法才是被普遍认为是正常的做法 我觉得之所以我们跟别的生灵区别开 是因为我们接受良好的教育，有正确的三观，，不然抛去这些我们也就是它们而已,水边刷新的NPC,2级评论,6,37,2021-10-26 23:08:33
我锄地贼6,男,小时候被狗追过好多次，被咬过两次[无语]而且没打针[捂脸]因为不敢跟家里人说去逗狗，没死也是奇迹[嗑瓜子],水边刷新的NPC,2级评论,6,10,2021-10-27 05:09:05
_波力海苔_,保密,我只有一个问题：他还是人类吗？🤔🤔🤔,,1级评论,5,8,2021-10-27 17:46:42
爱新觉罗翔太,男,"人的价值是远远高于猫狗的，我们首先要关心的是此人的心里状态问题和怎么帮助他恢复正常。而不是批评与指责。最好让他通过大家的教育和鼓励，再次成为一个健康的人。
你现在还小，以后就懂了",_波力海苔_,2级评论,6,0,2021-10-30 00:25:54
_波力海苔_,保密,回复 @咸鱼刺身233 :啊？真的是这样吗？太神奇了！原来是一种新生物！[妙啊],_波力海苔_,2级评论,5,0,2021-10-29 12:26:17
浩のB,男,好残忍,,1级评论,6,8,2021-10-26 18:03:20
盈萨玛,保密,[捂脸]这种人送的外卖你敢订么？,,1级评论,6,10,2022-03-20 13:48:20
爱新觉罗翔太,男,他说送外卖的，不是做外卖的，订外卖不关他的事,盈萨玛,2级评论,6,0,2024-05-25 07:42:48
阿克塞尔-阿尔玛,男,看了眼评论区，一堆一根筋的家伙替这人说话，想借极端的事情表露出自己有多理性，殊不知做为人除了文化素养还有一个东西叫道德。生活不顺不是施暴的理由，真正理性的话应该明白释放情绪解决不了主要矛盾。我不知道为什么有人看待这件事的时候刻意忽略了为人的基本道德和这个人的潜在社会危害，但是话说回来，精神病也是病，有病就得治，治不好就得在医院里老实待着。,,1级评论,6,13,2021-11-13 19:03:05
世无天,保密,【处理流浪猫问题不得不选择安乐死，领养绝育只是说着好听-哔哩哔哩】https://b23.tv/SI3rLF,阿克塞尔-阿尔玛,2级评论,5,0,2021-11-16 08:50:26
请铭记这瞬美好,男,回复 @世无天 :神金,阿克塞尔-阿尔玛,2级评论,5,0,2024-02-23 02:37:11
吃菠萝不吐菠萝皮_,男,我能知道他做这件事可能是因为来自各处的压力无处释放，但是他这么做我只能说是已经是心理变态了，他今天敢这么虐猫，明天就敢捅人，甚至于如果是他路过那只猫自己走过来，他觉得烦把那只猫踢飞出去我都不会觉得有什么问题，但是先勾引过来再摔，最后再补刀属实超出一个正常人的下限了,,1级评论,6,8,2021-11-14 11:17:25
世无天,保密,【处理流浪猫问题不得不选择安乐死，领养绝育只是说着好听-哔哩哔哩】https://b23.tv/SI3rLF,吃菠萝不吐菠萝皮_,2级评论,5,0,2021-11-16 08:48:47
转生成Dio,男,回复 @我吐子-我服子 :[吃瓜],吃菠萝不吐菠萝皮_,2级评论,5,0,2021-11-15 20:41:53
看一看舔一舔,保密,我要是看见直接上去就锤它了。太可恨了。看的我牙根痒痒。,,1级评论,6,7,2021-10-26 21:25:11
衣履湿搴芳,男,你可以讨厌猫🐱，但不要伤害猫，更不要为了达到伤害猫的目的还故作姿态地去示好，呸！恶心[吐][吐],,1级评论,5,7,2021-10-26 19:04:54
秋樱木泠,保密,这送外卖怕不是要下毒[微笑],,1级评论,6,7,2021-10-26 18:11:58
